AuthorID,Author,Date,Content,Attachments,Reactions
"1007001204431278170","thiscatisd_","2024-06-22T23:38:27.6700000+00:00","","https://cdn.discordapp.com/attachments/1253962245679874048/1254218982525894716/IMG_8688.jpg?ex=69bfd4b3&is=69be8333&hm=6514aba6c732f1d56c7d395171cd93855137bb83c7140302b8032ac974318580&",""
"700309386110828655","__crit__","2024-06-23T10:37:47.4390000+00:00","Can I pet that dawg","",""
"1007001204431278170","thiscatisd_","2024-06-25T04:39:45.6600000+00:00","He’s dumb","",""
"1007001204431278170","thiscatisd_","2024-06-25T04:39:55.9880000+00:00","","https://cdn.discordapp.com/attachments/1253962245679874048/1255019625817571339/IMG_8663.jpg?ex=69c01b5b&is=69bec9db&hm=56b6d23b7921e9353aa1c1a119d3089eae06e5a009acbd441c1415f9f28731d4&",""
"1007001204431278170","thiscatisd_","2024-06-25T04:40:06.5580000+00:00","Very intelligent dog","",""
"940762994277765160","mozzarella_ceas","2024-06-26T11:30:47.0200000+00:00","my dog dug a giant hole at the beach once","",""
"940762994277765160","mozzarella_ceas","2024-06-26T11:30:52.7300000+00:00","","https://cdn.discordapp.com/attachments/1253962245679874048/1255485431546646589/Screenshot_2024-06-26_at_7.png?ex=69bfd2ec&is=69be816c&hm=074883e7098371e290c15b2a3fcd5ae3503c6012eddfca96eb26be51c193ba0a&","⭐ (11),shinystar (4),star (4)"
"940762994277765160","mozzarella_ceas","2024-06-28T19:42:00.2990000+00:00","heres another picture of him in the snow","https://cdn.discordapp.com/attachments/1253962245679874048/1256333803257991268/Screenshot_2024-06-28_at_3.41.43_PM.png?ex=69bf9d48&is=69be4bc8&hm=6d49af8d2aa04925a4bb70cdb40f22f65574bffa5ad51280b8c4d422118f6ed9&","⭐ (9)"
"716806465821736970","pug.z","2024-06-29T16:15:01.5880000+00:00","","https://cdn.discordapp.com/attachments/1253962245679874048/1256644101772939378/IMG_7737.jpg?ex=69c01585&is=69bec405&hm=4363e89a7a96f7aa103d5877509dd64c4f9d984de07c86f26ca1d76ba55aaa17&,https://cdn.discordapp.com/attachments/1253962245679874048/1256644102267732029/IMG_7709.jpg?ex=69c01585&is=69bec405&hm=112990881ee1837f86959b5ec0a8567307aa397d4f961b6842d9842fdc76c828&,https://cdn.discordapp.com/attachments/1253962245679874048/1256644102712463420/IMG_7507.jpg?ex=69c01585&is=69bec405&hm=d4a9e9710c0c6be98f223139691a0f11b125725363b369fd90f628c1b5e91c78&,https://cdn.discordapp.com/attachments/1253962245679874048/1256644103404388432/108B4048-06FD-4925-9AD5-5464BF28B7AF.jpg?ex=69c01585&is=69bec405&hm=6ab5325f2e9a1d6a8cea09e5547d061ea110e25fb2e9f58183e53f06a0a6cc66&",""
"716806465821736970","pug.z","2024-06-29T16:16:31.4060000+00:00","","https://cdn.discordapp.com/attachments/1253962245679874048/1256644477884432494/IMG_7336.jpg?ex=69c015de&is=69bec45e&hm=a5376ae3aacbcdb48ddc269316ba0c49c16b940771c4cfbf2f5d34976694f790&,https://cdn.discordapp.com/attachments/1253962245679874048/1256644478358519858/IMG_7131.jpg?ex=69c015de&is=69bec45e&hm=01ab7bc4cdc8a12e490abf16443b15649563567f0bf920d26b0871fcde6b5097&,https://cdn.discordapp.com/attachments/1253962245679874048/1256644478916104202/IMG_6981.jpg?ex=69c015df&is=69bec45f&hm=52141765d5eeb918fe92978d0cff5457e9e2771084bb4be5e55935becdc7d57e&,https://cdn.discordapp.com/attachments/1253962245679874048/1256644479495176334/IMG_6781.jpg?ex=69c015df&is=69bec45f&hm=61ab4681e545f6f997bd6e9bbe2a88bafd70f96aec68ba8dc26180bb84649b8d&,https://cdn.discordapp.com/attachments/1253962245679874048/1256644479956422676/IMG_6687.jpg?ex=69c015df&is=69bec45f&hm=3fd43988cd103bf6ece232cf0ad535502c87031c0b80f97200482d0f081d0f5c&",""
