AuthorID,Author,Date,Content,Attachments,Reactions
"1325579039888511056","Tickets v2#5105","2026-03-20T21:25:33.5470000+00:00","","",""
"1374466198858891325","moon_2kitty222","2026-03-20T21:27:06.6000000+00:00","lightmelo I was banned by F1D265. For spawning mobs but I dint even spawn meny and it has been like a year since that plus there was already some donkeys placed","",""
"957218887496269874","tofferleel12","2026-03-20T22:52:34.8580000+00:00","is that even bannable?","",""
"957218887496269874","tofferleel12","2026-03-20T22:52:41.3300000+00:00","how long is the ban for?","",""
"957218887496269874","tofferleel12","2026-03-20T22:53:39.8160000+00:00","@Kundaliel","",""
"1374466198858891325","moon_2kitty222","2026-03-21T10:42:12.8680000+00:00","@TheLastArchivist  it’s a perma ban","",""
"1374466198858891325","moon_2kitty222","2026-03-21T10:42:29.9620000+00:00","There was no time i just got banned","",""
"957218887496269874","tofferleel12","2026-03-21T13:32:22.5690000+00:00","thats really strange","",""
"1374466198858891325","moon_2kitty222","2026-03-21T13:32:51.6680000+00:00","I got banned for spawning couple of mobs in when some wasn’t even me who spawned it in","",""
"957218887496269874","tofferleel12","2026-03-21T13:33:28.6460000+00:00","lemme check the ban","",""
"957218887496269874","tofferleel12","2026-03-21T13:38:41.1080000+00:00","","https://cdn.discordapp.com/attachments/1484664216739647579/1484909113845747732/image.png?ex=69bff0e1&is=69be9f61&hm=95fc4b111a1b526de6c440eb7acc4adb183b7c27adcfa9dc44220fa3c8f440b2&",""
"957218887496269874","tofferleel12","2026-03-21T13:39:18.9030000+00:00","@The_Bear__ @The_Bear__ @The_Bear__²","",""
"957218887496269874","tofferleel12","2026-03-21T13:39:24.1330000+00:00","why do you have 3 accounts gng","",""
"1453478873437048905","mooniesliced","2026-03-21T13:40:38.4710000+00:00","uh","",""
"1453478873437048905","mooniesliced","2026-03-21T13:40:45.1160000+00:00","one was backup","",""
"1453478873437048905","mooniesliced","2026-03-21T13:40:54.1710000+00:00","and it so happened that another one became a backup","",""
"1453478873437048905","mooniesliced","2026-03-21T13:40:56.2720000+00:00","and this ones the main one","",""
"1453478873437048905","mooniesliced","2026-03-21T13:41:40.1740000+00:00","ion know if i got pictures of a few months ago","",""
"1453478873437048905","mooniesliced","2026-03-21T13:42:08.7830000+00:00","yea i dont","",""
"1453478873437048905","mooniesliced","2026-03-21T13:42:15.1890000+00:00","the earliest one i got is on 15th","",""
"957218887496269874","tofferleel12","2026-03-21T13:42:39.7320000+00:00","so uh","",""
"957218887496269874","tofferleel12","2026-03-21T13:42:43.4800000+00:00","what did you ban him for","",""
"1453478873437048905","mooniesliced","2026-03-21T13:42:47.1150000+00:00","gng","",""
"957218887496269874","tofferleel12","2026-03-21T13:42:47.7410000+00:00","and why is the ban ""cool""","",""
"1453478873437048905","mooniesliced","2026-03-21T13:42:51.6510000+00:00","how the hell","",""
"1453478873437048905","mooniesliced","2026-03-21T13:42:52.7470000+00:00","do i know","",""
"957218887496269874","tofferleel12","2026-03-21T13:43:00.1550000+00:00","so like","",""
"1453478873437048905","mooniesliced","2026-03-21T13:43:06.0810000+00:00","i am not a bank and i dont store information for years","",""
"957218887496269874","tofferleel12","2026-03-21T13:43:08.1890000+00:00","should we unban him?","",""
"957218887496269874","tofferleel12","2026-03-21T13:43:10.0160000+00:00","or hwta","",""
"1453478873437048905","mooniesliced","2026-03-21T13:43:10.2060000+00:00","😭","",""
"1453478873437048905","mooniesliced","2026-03-21T13:43:22.3870000+00:00","well","",""
"1453478873437048905","mooniesliced","2026-03-21T13:43:26.7710000+00:00","he did say he spammed mobs","",""
"1453478873437048905","mooniesliced","2026-03-21T13:43:31.1400000+00:00","so it was prolly alot of em","",""
"1453478873437048905","mooniesliced","2026-03-21T13:43:36.0320000+00:00","so thats it","",""
"957218887496269874","tofferleel12","2026-03-21T13:43:41.1920000+00:00","an inf ban tho?","",""
"1453478873437048905","mooniesliced","2026-03-21T13:43:47.7200000+00:00","gng","",""
"1453478873437048905","mooniesliced","2026-03-21T13:43:53.8910000+00:00","huge mob spawns = server lag machines","",""
"957218887496269874","tofferleel12","2026-03-21T13:43:59.0710000+00:00","true","",""
"957218887496269874","tofferleel12","2026-03-21T13:44:09.0740000+00:00","ello @sabrina carpenters_y","",""
"1354894912092377380","amsity","2026-03-21T13:44:13.4420000+00:00","hi","",""
"1453478873437048905","mooniesliced","2026-03-21T13:44:21.6920000+00:00","theres no way a jr mod trynna tell me sum 🥀","",""
"1453478873437048905","mooniesliced","2026-03-21T13:44:33.6690000+00:00","wait arch","",""
"1453478873437048905","mooniesliced","2026-03-21T13:44:38.1230000+00:00","didnt u try to apply for mod","",""
"1453478873437048905","mooniesliced","2026-03-21T13:44:40.9290000+00:00","like multiple times","",""
"957218887496269874","tofferleel12","2026-03-21T13:44:49.8740000+00:00","wdym","",""
"1453478873437048905","mooniesliced","2026-03-21T13:44:56.4330000+00:00","ig not","",""
"1453478873437048905","mooniesliced","2026-03-21T13:44:57.0310000+00:00","alrt","",""
"1354894912092377380","amsity","2026-03-21T13:45:02.5640000+00:00","pipe it down a lil bru 😭✌️","",""
"957218887496269874","tofferleel12","2026-03-21T13:45:06.4340000+00:00","i was just asking 🙏","",""
"1453478873437048905","mooniesliced","2026-03-21T13:45:13.7380000+00:00","it wasnt even mean","",""
"1453478873437048905","mooniesliced","2026-03-21T13:45:14.9510000+00:00","🥀","",""
"1354894912092377380","amsity","2026-03-21T13:45:24.0550000+00:00","we get it u got sr mod bro","",""
"1453478873437048905","mooniesliced","2026-03-21T13:45:24.5120000+00:00","anyways","",""
"957218887496269874","tofferleel12","2026-03-21T13:45:25.2810000+00:00","the ego is crazy","",""
"1453478873437048905","mooniesliced","2026-03-21T13:45:25.5300000+00:00","idk","",""
"1354894912092377380","amsity","2026-03-21T13:45:28.2780000+00:00","evil tyrant bear","",""
"1354894912092377380","amsity","2026-03-21T13:45:33.5780000+00:00","all u big bro","",""
"1453478873437048905","mooniesliced","2026-03-21T13:45:34.5150000+00:00","the servs pretty dead anyways","",""
"1453478873437048905","mooniesliced","2026-03-21T13:45:38.8600000+00:00","so :shrug:","",""
"957218887496269874","tofferleel12","2026-03-21T13:45:40.3760000+00:00","theres like","",""
"957218887496269874","tofferleel12","2026-03-21T13:45:43.7500000+00:00","10 people on rn","",""
"957218887496269874","tofferleel12","2026-03-21T13:45:45.9240000+00:00","also","",""
"1354894912092377380","amsity","2026-03-21T13:45:50.1380000+00:00","15 rn","",""
"1453478873437048905","mooniesliced","2026-03-21T13:45:50.5380000+00:00","rawr","",""
"957218887496269874","tofferleel12","2026-03-21T13:45:51.8750000+00:00","who is this skippy guy","",""
"1453478873437048905","mooniesliced","2026-03-21T13:46:12.3210000+00:00","in prime of 50x 20 was minimum daily btw","",""
"957218887496269874","tofferleel12","2026-03-21T13:46:29.6320000+00:00","i mean atleast its not 2 clankers only","",""
"957218887496269874","tofferleel12","2026-03-21T13:46:32.4550000+00:00","anyway","",""
"957218887496269874","tofferleel12","2026-03-21T13:46:36.6450000+00:00","who is the skippy guy","",""
"1453478873437048905","mooniesliced","2026-03-21T13:46:42.9430000+00:00","thats like every work day in my mornings","",""
"1453478873437048905","mooniesliced","2026-03-21T13:46:45.1520000+00:00",":V","",""
"1453478873437048905","mooniesliced","2026-03-21T13:46:52.9750000+00:00","how tf should i know bruh","",""
"1453478873437048905","mooniesliced","2026-03-21T13:46:56.4970000+00:00","🥀","",""
"1453478873437048905","mooniesliced","2026-03-21T13:47:15.1680000+00:00","ask uh","",""
"1453478873437048905","mooniesliced","2026-03-21T13:47:16.0690000+00:00","bob","",""
"1453478873437048905","mooniesliced","2026-03-21T13:47:17.5500000+00:00","he knows","",""
"957218887496269874","tofferleel12","2026-03-21T13:48:02.3880000+00:00","new owner shi","",""
"1354894912092377380","amsity","2026-03-21T13:50:07.3020000+00:00","atl it aint 2 bots on","",""
"1325579039888511056","Tickets v2#5105","2026-03-21T14:01:48.2550000+00:00","","",""
