AuthorID,Author,Date,Content,Attachments,Reactions
"517967799302488064","siqns","2024-01-08T15:13:43.0040000+00:00","## STAFF VACATION FORMAT
PLEASE USE THE FORMAT BELOW FOR POSTING VACATIONS HERE, OTHERWISE A FREE WARNING WILL BE GIVEN.

```
TIME: ## MONTHS / ## WEEKS / ## DAYS
START: ##/##/20##
END: ##/##/20##
WHY: (reason)
```","",""
"517967799302488064","siqns","2024-01-08T15:16:10.6630000+00:00","USER: JADELEAF
TIME: 1 MONTH
START: 08/01/2024
END: 08/02/2024
WHY: ""MY COMPUTER STOPPED CHARGING""","",""
"1079174945839513660","30xxx","2024-01-08T16:17:10.2930000+00:00","USER: 30XX
TIME: A few weeks
START: TOMORROW
END: ❓
WHY: HOLIDAY TO TUNISIA","",""
"456226577798135808","Deleted User","2024-01-09T02:51:04.2280000+00:00","TIME: 5 months
START: 9/11/2023
END: 2/28/2024
WHY: Minehut ban","",""
"716806465821736970","pug.z","2024-01-10T12:18:57.2620000+00:00","time: week or so start: 1/10/24 end 1/?/24 why: vomiting all day i can’t play mc 💀","",""
"826805884864561232","haox9","2024-01-19T09:07:00.5700000+00:00","TIME: 5 DAYS
START: 22/01/2024
END: 26/01/2024
WHY: school ski trip","","🔥 (2)"
"716806465821736970","pug.z","2024-01-24T20:48:18.1180000+00:00","Hey ya’ll. I don’t find myself realistically being active on the server; at most joining for a few minutes or an hour each week, for the next couple of month(s). I’ve fallen into a depression and a lot of my family is on the verge of passing away, and I really should take a break off Minecraft and the server. Since i don’t know how long this will be, i’ll understand if you decide to take my role. One day maybe I’ll come back actively and ban some griefas. I’m not quitting, I will be back, just when this will happen I do not know. I’m sorry, I love u egnar","","❤️ (4)"
"769643773675962439","zxderrzero","2024-01-27T07:26:00.0560000+00:00","I know lookatminecraft basically just quit, and I'm probably gonna join him. I can still moderate the discord, but the mc server is just way too laggy for me to play. I have no idea what's wrong, but I might return on some optifine installation to the mc server later on. I know almost none of you will be upset, but I write this for those that might just care a little bit about my existence on the server. Goodbye, 50xCreative. For now...","","bluemoji_salute (1),🫡 (1),🇼 (1),🇭 (1),🇴 (1),🇦 (1),🇸 (1),🇰 (1),🇪 (1),🇩 (1)"
"907920882167607357","its_zeal","2024-01-27T14:33:47.6130000+00:00","""my quest in this life is over..."" ah statement","","😭 (1)"
"769643773675962439","zxderrzero","2024-01-27T16:58:25.7960000+00:00","stfu","",""
"769643773675962439","zxderrzero","2024-01-27T16:59:12.4880000+00:00","cuz u delete it ahh, uhm, idk","",""
"757997811055984760","kundaliel","2024-01-27T20:33:02.9040000+00:00","What version are you on?","",""
"757997811055984760","kundaliel","2024-01-27T20:33:17.1190000+00:00","1.20.1 Is really laggy on 50x for some reason","",""
"1007001204431278170","thiscatisd_","2024-01-27T22:37:09.7420000+00:00","TIME: 1 DAYS
START: 29/2/2024
END: 1/3/2024
WHY: it dosent exist.. wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up,","",""
"1168492697401700406","iron_56538","2024-01-28T01:54:09.5800000+00:00","""my time has come"" ahh statement","",""
"1007001204431278170","thiscatisd_","2024-01-28T02:35:12.4720000+00:00","TIME: ?? DAYS
START: 27/1/24
END: ?/?/2024
WHY:pc is dead as hell 💀💀","https://cdn.discordapp.com/attachments/1192812850918465597/1200992446037889184/IMG_5963.mov?ex=69bffe20&is=69beaca0&hm=087dca3b5f6d6f77fee605620c948db2e0db5f4ebaa5d3ba2224ae7e5604dd89&",""
"456226577798135808","Deleted User","2024-01-28T13:57:09.8940000+00:00","hmm yes ignore the computer on the right","",""
"456226577798135808","Deleted User","2024-01-28T13:58:12.5250000+00:00","","https://cdn.discordapp.com/attachments/1192812850918465597/1201164328531935272/image.png?ex=69bff574&is=69bea3f4&hm=f45fdee46de5daeac54eadefd088e8c0ed38c30cc754bbe65d9e67b6d8374afa&",""
"456226577798135808","Deleted User","2024-01-28T13:58:27.3330000+00:00","","",""
"1007001204431278170","thiscatisd_","2024-01-28T14:17:12.6430000+00:00","That was yesterday","",""
"1007001204431278170","thiscatisd_","2024-01-28T14:17:39.1800000+00:00","I can play on it for like 4 minutes and it freezes","",""
"1007001204431278170","thiscatisd_","2024-01-28T14:17:52.4360000+00:00","Takes a bajillion years just to boot up","",""
"826470891935629333","3_tap","2024-01-28T14:58:17.5390000+00:00","kool setup","",""
"769643773675962439","zxderrzero","2024-01-28T18:17:04.8200000+00:00","ye im on 1.20.1","",""
"757997811055984760","kundaliel","2024-01-28T18:54:51.5670000+00:00","Try 1.20.2","",""
"456226577798135808","Deleted User","2024-02-01T22:24:37.5330000+00:00","IM COMING BACK ON THE 22ND 🔥 🔥 💯","",""
"456226577798135808","Deleted User","2024-02-06T23:28:08.5680000+00:00","start: 2/6/24
end: 2/22/24
reason: moving discord accounts, wont be able to join and verify until im unbanned on minehut","",""
