AuthorID,Author,Date,Content,Attachments,Reactions
"1129336362705887282","50xcreative#9271","2023-07-16T23:12:53.3700000+00:00","**Do not use this command on public channels.**","",""
"712298805982396477","djesse","2023-07-17T22:11:53.3960000+00:00","50x.listall","",""
"712298805982396477","djesse","2023-07-17T22:11:59.5580000+00:00","50x.list","",""
"1129336362705887282","50xcreative#9271","2023-07-17T22:14:20.7740000+00:00","**Do not use this command on public channels.**","",""
"1129336362705887282","50xcreative#9271","2023-07-17T22:14:21.0620000+00:00","The current player amount is **20/55**","",""
"712298805982396477","djesse","2023-07-17T22:23:35.0740000+00:00","50x.list","",""
"1129336362705887282","50xcreative#9271","2023-07-17T22:23:35.4730000+00:00","The current player amount is **3/55**","",""
"1129336362705887282","50xcreative#9271","2023-07-17T22:23:35.7610000+00:00","The current staff online are: **xAsiqn and TinyHobbit**","",""
"843353250296365077","asiqn","2023-07-17T22:55:58.0450000+00:00","50x.stats","",""
"843353250296365077","asiqn","2023-07-17T22:56:02.5120000+00:00","50x list","",""
"843353250296365077","asiqn","2023-07-17T22:56:05.6320000+00:00","50x.list","",""
"1129336362705887282","50xcreative#9271","2023-07-17T22:56:05.9620000+00:00","The current player amount is **5/55**","",""
"1129336362705887282","50xcreative#9271","2023-07-17T22:56:06.3490000+00:00","The current staff online are: **SusieFromDeltaru**","",""
"843353250296365077","asiqn","2023-07-17T22:56:10.9780000+00:00","Gay","",""
"456226577798135808","Deleted User","2023-07-18T08:31:51.9760000+00:00","50.stats","",""
"456226577798135808","Deleted User","2023-07-18T08:31:58.3760000+00:00","50x.stats","",""
"456226577798135808","Deleted User","2023-07-18T08:32:06.9080000+00:00","50x.list","",""
"1129336362705887282","50xcreative#9271","2023-07-18T08:32:07.0460000+00:00","The current player amount is **13/55**","",""
"1129336362705887282","50xcreative#9271","2023-07-18T08:32:07.3680000+00:00","The current staff online are: **DevilishRak and CrystalEU**","",""
"458276816071950337","ServerStats#0197","2023-07-18T10:17:56.8240000+00:00",":information_source: Server is already in the queue (updates in: 121 SEC).","",""
"712298805982396477","djesse","2023-07-18T14:00:37.6860000+00:00","50x.listall","",""
"1129336362705887282","50xcreative#9271","2023-07-18T14:00:37.9810000+00:00","**Do not use this command on public channels.**","",""
"712298805982396477","djesse","2023-07-18T14:00:40.7260000+00:00","BRUH","",""
"712298805982396477","djesse","2023-07-18T14:00:43.2000000+00:00","@Deleted User","",""
"456226577798135808","Deleted User","2023-07-18T14:00:55.7890000+00:00","this aint no public chanel","",""
"826470891935629333","3_tap","2023-07-18T14:01:12.9760000+00:00","50x.stats","",""
"826470891935629333","3_tap","2023-07-18T14:01:15.3030000+00:00","bruh","",""
"712298805982396477","djesse","2023-07-18T14:01:21.1990000+00:00","50x.list","",""
"1129336362705887282","50xcreative#9271","2023-07-18T14:01:21.4310000+00:00","The current player amount is **24/55**","",""
"1129336362705887282","50xcreative#9271","2023-07-18T14:01:21.7910000+00:00","The current staff online are: **xAsiqn, TinyHobbit, CrystalEU, Djesse_, 3_Tap and Arogus_**","",""
"712298805982396477","djesse","2023-07-18T14:01:22.8060000+00:00","50x.listall","",""
"1129336362705887282","50xcreative#9271","2023-07-18T14:01:23.0760000+00:00","**Do not use this command on public channels.**","",""
"456226577798135808","Deleted User","2023-07-18T18:07:10.1040000+00:00","BRUH","",""
