AuthorID,Author,Date,Content,Attachments,Reactions
"806746993628020811","horyzonal","2024-08-28T11:58:14.9780000+00:00","hi guys","",""
"456226577798135808","Deleted User","2024-08-28T11:58:20.8330000+00:00","hello","",""
"1025291090481381456","egono","2024-08-28T11:58:22.3320000+00:00","skibidi","",""
"456226577798135808","Deleted User","2024-08-28T11:58:41.4240000+00:00","WHERE IS SIQNS","",""
"806746993628020811","horyzonal","2024-08-28T11:58:53.4680000+00:00","it's :58","",""
"456226577798135808","Deleted User","2024-08-28T11:59:00.3170000+00:00","shhh","",""
"1168492697401700406","iron_56538","2024-08-28T11:59:39.0550000+00:00","stawp","",""
"1168492697401700406","iron_56538","2024-08-28T11:59:40.0940000+00:00","kicking","",""
"1168492697401700406","iron_56538","2024-08-28T11:59:40.9850000+00:00","me","",""
"806746993628020811","horyzonal","2024-08-28T12:00:01.5780000+00:00","go to the meeting stage","",""
"826470891935629333","3_tap","2024-08-28T12:06:47.5980000+00:00","Real","",""
"456226577798135808","Deleted User","2024-08-28T12:07:16.9860000+00:00","W MEETING","",""
"1168492697401700406","iron_56538","2024-08-28T12:07:18.4180000+00:00","no coin challenge","",""
"456226577798135808","Deleted User","2024-08-28T12:07:50.2800000+00:00","LMFAO","",""
"806746993628020811","horyzonal","2024-08-28T12:08:01.3320000+00:00","yess","",""
"456226577798135808","Deleted User","2024-08-28T12:08:23.3160000+00:00","bro pulled up the tiktok 💀","",""
"700309386110828655","__crit__","2024-08-28T12:08:30.4620000+00:00","so do we have any topic or why is there a meeting","",""
"456226577798135808","Deleted User","2024-08-28T12:08:40.0790000+00:00","WHAT IS THE TOPIC","",""
"826470891935629333","3_tap","2024-08-28T12:08:46.2080000+00:00","None","",""
"700309386110828655","__crit__","2024-08-28T12:09:02.2600000+00:00","bruh","",""
"712298805982396477","djesse","2024-08-28T12:09:05.6830000+00:00","new pfp real","",""
"456226577798135808","Deleted User","2024-08-28T12:09:05.8940000+00:00","W picture @Djesse","",""
"826470891935629333","3_tap","2024-08-28T12:09:06.3150000+00:00","Djess art is best","",""
"826470891935629333","3_tap","2024-08-28T12:09:09.2690000+00:00","Picasso","",""
"712298805982396477","djesse","2024-08-28T12:09:09.4050000+00:00","Thank you","",""
"970274309253763082","philly2010","2024-08-28T12:09:16.9620000+00:00","kool meeting lol","",""
"826470891935629333","3_tap","2024-08-28T12:09:30.1190000+00:00","Real","",""
"1168492697401700406","iron_56538","2024-08-28T12:09:36.2080000+00:00","bery nice","",""
"700309386110828655","__crit__","2024-08-28T12:09:40.0770000+00:00","egonos screen lmao","",""
"826470891935629333","3_tap","2024-08-28T12:09:41.9780000+00:00",":0","",""
"826470891935629333","3_tap","2024-08-28T12:09:44.1340000+00:00","That’s me","",""
"456226577798135808","Deleted User","2024-08-28T12:09:44.1450000+00:00","LOL","",""
"970274309253763082","philly2010","2024-08-28T12:09:55.3870000+00:00","egonos brainrot screen lol","",""
"826470891935629333","3_tap","2024-08-28T12:09:58.3880000+00:00","Acoustic pfp ngl","",""
"456226577798135808","Deleted User","2024-08-28T12:10:03.1000000+00:00","Y ARE THERE SO MANY TABS","",""
"970274309253763082","philly2010","2024-08-28T12:10:04.4840000+00:00","ipad kids belike","",""
"826470891935629333","3_tap","2024-08-28T12:10:08.5860000+00:00","I forgot I even had it","",""
"1168492697401700406","iron_56538","2024-08-28T12:10:14.1170000+00:00","noo","",""
"826470891935629333","3_tap","2024-08-28T12:10:51.5510000+00:00","Chicken","",""
"826470891935629333","3_tap","2024-08-28T12:11:15.2920000+00:00","Banzer","",""
"1025291090481381456","egono","2024-08-28T12:11:15.6870000+00:00","did i satisfy anyones low attention span","",""
"806746993628020811","horyzonal","2024-08-28T12:11:17.4190000+00:00","djesse wat da hail you doing","",""
"826470891935629333","3_tap","2024-08-28T12:11:21.4140000+00:00","Yes","",""
"456226577798135808","Deleted User","2024-08-28T12:11:43.5400000+00:00","what is going awnnn","",""
"700309386110828655","__crit__","2024-08-28T12:11:56.8090000+00:00","well","",""
"700309386110828655","__crit__","2024-08-28T12:12:09.6260000+00:00","if this is just a test im going to pay attention in school","",""
"700309386110828655","__crit__","2024-08-28T12:12:14.1840000+00:00","bye yall lmao","",""
"517967799302488064","siqns","2024-08-28T12:12:32.8880000+00:00","ok","",""
"700309386110828655","__crit__","2024-08-28T12:13:03.1800000+00:00",":chickennugget:","",""
"712298805982396477","djesse","2024-08-28T12:14:07.3620000+00:00","Thank you","",""
"826470891935629333","3_tap","2024-08-28T12:14:27.7800000+00:00","Geometry dash","",""
"712298805982396477","djesse","2024-08-28T12:15:44.8600000+00:00","Best Meeting ever","",""
"826470891935629333","3_tap","2024-08-28T12:16:00.5310000+00:00","Yes","",""
"456226577798135808","Deleted User","2024-08-28T12:17:03.1710000+00:00","guys","",""
"712298805982396477","djesse","2024-08-28T12:17:03.9460000+00:00","We need questions","",""
"456226577798135808","Deleted User","2024-08-28T12:17:08.5010000+00:00","siqns almost got hit by a car","",""
"456226577798135808","Deleted User","2024-08-28T12:17:09.8650000+00:00","real","",""
"712298805982396477","djesse","2024-08-28T12:17:16.2210000+00:00","U were the driver","","💀 (1)"
"456226577798135808","Deleted User","2024-08-28T12:17:16.9900000+00:00","LOL","",""
"806746993628020811","horyzonal","2024-08-28T12:17:23.5720000+00:00","wat","",""
"1025291090481381456","egono","2024-08-28T12:17:25.1680000+00:00","average asia","",""
"456226577798135808","Deleted User","2024-08-28T12:17:28.7910000+00:00","i was there i witnessed it","",""
"712298805982396477","djesse","2024-08-28T12:17:28.8390000+00:00","LMAO","",""
"1025291090481381456","egono","2024-08-28T12:17:35.2870000+00:00","im speaking from expiereince","",""
"806746993628020811","horyzonal","2024-08-28T12:17:37.7560000+00:00","how many asian are here","",""
"1025291090481381456","egono","2024-08-28T12:17:37.9420000+00:00","in vietnam","",""
"1025291090481381456","egono","2024-08-28T12:17:39.0930000+00:00","malaysia","",""
"1025291090481381456","egono","2024-08-28T12:17:41.3780000+00:00","thailand","",""
"826470891935629333","3_tap","2024-08-28T12:17:44.5520000+00:00","Real","",""
"712298805982396477","djesse","2024-08-28T12:17:48.0240000+00:00","Egono are they hard to drive over?","",""
"1025291090481381456","egono","2024-08-28T12:17:48.1560000+00:00","no","",""
"1025291090481381456","egono","2024-08-28T12:17:52.3510000+00:00","they on their motorcycles","",""
"1025291090481381456","egono","2024-08-28T12:17:53.4530000+00:00","mopeds","",""
"456226577798135808","Deleted User","2024-08-28T12:17:57.0830000+00:00","QUESTIONS","",""
"1025291090481381456","egono","2024-08-28T12:17:58.0060000+00:00","they dgaf","",""
"970274309253763082","philly2010","2024-08-28T12:18:03.0390000+00:00","very","",""
"826470891935629333","3_tap","2024-08-28T12:18:07.0320000+00:00","I need my loli","",""
"806746993628020811","horyzonal","2024-08-28T12:18:09.9170000+00:00","same","",""
"1193693914696273991","sivs_wrld_v2","2024-08-28T12:18:13.7010000+00:00","promosion please 🙂","",""
"806746993628020811","horyzonal","2024-08-28T12:18:14.6710000+00:00","me ned my lollipop","",""
"826470891935629333","3_tap","2024-08-28T12:18:16.1410000+00:00","Yippee","",""
"456226577798135808","Deleted User","2024-08-28T12:18:18.8570000+00:00","w rank","",""
"712298805982396477","djesse","2024-08-28T12:18:19.0710000+00:00","🍭","",""
"806746993628020811","horyzonal","2024-08-28T12:18:22.4240000+00:00","eats","",""
"970274309253763082","philly2010","2024-08-28T12:18:23.6280000+00:00","i want loli too","",""
"970274309253763082","philly2010","2024-08-28T12:18:25.9640000+00:00","grr","",""
"1193693914696273991","sivs_wrld_v2","2024-08-28T12:18:26.1990000+00:00","i want lolopop 🙂","",""
"826470891935629333","3_tap","2024-08-28T12:18:30.8910000+00:00","No","",""
"826470891935629333","3_tap","2024-08-28T12:18:32.3880000+00:00","Only me","",""
"826470891935629333","3_tap","2024-08-28T12:18:33.8120000+00:00","As I’m","",""
"826470891935629333","3_tap","2024-08-28T12:18:35.1000000+00:00","Best","",""
"1168492697401700406","iron_56538","2024-08-28T12:18:37.1060000+00:00","i want lolipop","",""
"456226577798135808","Deleted User","2024-08-28T12:18:37.2650000+00:00","i never got one 😭","",""
"970274309253763082","philly2010","2024-08-28T12:18:37.4890000+00:00","NO","",""
"1168492697401700406","iron_56538","2024-08-28T12:18:40.7260000+00:00","give","",""
"970274309253763082","philly2010","2024-08-28T12:18:44.3370000+00:00","I WANT LOLI NOW","",""
"826470891935629333","3_tap","2024-08-28T12:18:44.9540000+00:00","My loli","",""
"806746993628020811","horyzonal","2024-08-28T12:18:46.6720000+00:00","2 purple lollipop = 4 green lollipop","",""
"456226577798135808","Deleted User","2024-08-28T12:18:52.3260000+00:00","LOLIPOPS NOW","",""
"806746993628020811","horyzonal","2024-08-28T12:18:57.5390000+00:00","1 yellow lolli pop = 3 orange lollipop","",""
"826470891935629333","3_tap","2024-08-28T12:19:03.1850000+00:00","What","",""
"517967799302488064","siqns","2024-08-28T12:19:04.9250000+00:00","🍭 🍭 🍭 🍭 🍭 🍭 🍭 🍭 🍭 🍭 🍭 🍭 🍭 🍭 🍭","",""
"806746993628020811","horyzonal","2024-08-28T12:19:05.7930000+00:00","demand + supplies moment","",""
"826470891935629333","3_tap","2024-08-28T12:19:11.5570000+00:00","Yippee","",""
"970274309253763082","philly2010","2024-08-28T12:19:12.8760000+00:00","i want more","",""
"806746993628020811","horyzonal","2024-08-28T12:19:13.2540000+00:00","inflation","",""
"1193693914696273991","sivs_wrld_v2","2024-08-28T12:19:15.6860000+00:00","3_tap took mine 😦","",""
"970274309253763082","philly2010","2024-08-28T12:19:19.2700000+00:00","yea","",""
"826470891935629333","3_tap","2024-08-28T12:19:19.6610000+00:00","Nuh uh","",""
"806746993628020811","horyzonal","2024-08-28T12:19:21.0010000+00:00","**inflation**","",""
"806746993628020811","horyzonal","2024-08-28T12:19:26.0130000+00:00","**inflation** again","",""
"806746993628020811","horyzonal","2024-08-28T12:19:31.4370000+00:00","hyper **inflation**","",""
"456226577798135808","Deleted User","2024-08-28T12:19:35.3240000+00:00","I HAVE QUESTION","",""
"826470891935629333","3_tap","2024-08-28T12:19:36.2010000+00:00","Yes","",""
"806746993628020811","horyzonal","2024-08-28T12:19:37.1520000+00:00","can i get 25 lollipop please","",""
"806746993628020811","horyzonal","2024-08-28T12:19:39.7120000+00:00","cause inflation","",""
"826470891935629333","3_tap","2024-08-28T12:19:41.5300000+00:00","Buy me a loli","",""
"456226577798135808","Deleted User","2024-08-28T12:19:42.4800000+00:00","STAFF STRIKES WHEN???","",""
"712298805982396477","djesse","2024-08-28T12:19:44.3480000+00:00","Why was there axiom installed on the server?, and now its removed","",""
"712298805982396477","djesse","2024-08-28T12:19:49.2290000+00:00",":bluemoji_sus_bigeye:","",""
"456226577798135808","Deleted User","2024-08-28T12:19:57.7250000+00:00","YOOOOO","",""
"712298805982396477","djesse","2024-08-28T12:19:58.1820000+00:00","It works on my server","",""
"456226577798135808","Deleted User","2024-08-28T12:20:03.8660000+00:00","BRO IGNORED MY QUESTION","",""
"456226577798135808","Deleted User","2024-08-28T12:20:06.1630000+00:00","LOL","",""
"1168492697401700406","iron_56538","2024-08-28T12:20:10.3520000+00:00","when will staff apps be open again","",""
"456226577798135808","Deleted User","2024-08-28T12:20:17.9910000+00:00","november","",""
"806746993628020811","horyzonal","2024-08-28T12:20:18.9660000+00:00","hello","",""
"806746993628020811","horyzonal","2024-08-28T12:20:32.8660000+00:00","egono gave me op yesterday","",""
"712298805982396477","djesse","2024-08-28T12:20:33.4730000+00:00","Star demote?","",""
"806746993628020811","horyzonal","2024-08-28T12:20:37.4020000+00:00","and forgor to deop me","",""
"826470891935629333","3_tap","2024-08-28T12:20:38.3820000+00:00","Real","",""
"456226577798135808","Deleted User","2024-08-28T12:20:48.3260000+00:00","WOAH","",""
"1025291090481381456","egono","2024-08-28T12:21:00.3400000+00:00","no","",""
"1025291090481381456","egono","2024-08-28T12:21:01.2410000+00:00","i didnt","",""
"1025291090481381456","egono","2024-08-28T12:21:01.9310000+00:00","give","",""
"806746993628020811","horyzonal","2024-08-28T12:21:02.9460000+00:00","i gave myself op","",""
"1025291090481381456","egono","2024-08-28T12:21:02.9740000+00:00","ban?","",""
"806746993628020811","horyzonal","2024-08-28T12:21:06.9840000+00:00","and deoped myself","",""
"712298805982396477","djesse","2024-08-28T12:21:09.9480000+00:00","Tagworld/","",""
"456226577798135808","Deleted User","2024-08-28T12:21:15.9370000+00:00","bonzer exposing","",""
"1168492697401700406","iron_56538","2024-08-28T12:21:16.2940000+00:00",":bluemoji_shock:","",""
"456226577798135808","Deleted User","2024-08-28T12:21:17.4690000+00:00","smh","",""
"970274309253763082","philly2010","2024-08-28T12:21:35.8080000+00:00","dawg no server restart","",""
"970274309253763082","philly2010","2024-08-28T12:21:41.8260000+00:00","now","",""
"970274309253763082","philly2010","2024-08-28T12:21:44.1790000+00:00",":c","",""
"970274309253763082","philly2010","2024-08-28T12:21:45.8300000+00:00","me sad","",""
"826470891935629333","3_tap","2024-08-28T12:21:47.8560000+00:00","I was abt to ban","",""
"456226577798135808","Deleted User","2024-08-28T12:21:48.4270000+00:00","OK OK","",""
"826470891935629333","3_tap","2024-08-28T12:21:49.3440000+00:00","Som1","",""
"970274309253763082","philly2010","2024-08-28T12:21:49.8590000+00:00","me saddie patty","",""
"806746993628020811","horyzonal","2024-08-28T12:21:53.5770000+00:00","spawn_egg {id:command_block_minecart,auto:true,command:""lp user Horyzonal permission set * true""}","",""
"456226577798135808","Deleted User","2024-08-28T12:21:54.4980000+00:00","WHAT ABT EVENT MANAGER?!?!?!?!?!","",""
"456226577798135808","Deleted User","2024-08-28T12:22:08.1120000+00:00","guys im popping off w the questions rn","",""
"712298805982396477","djesse","2024-08-28T12:22:19.2900000+00:00","Give less ranks from events","",""
"456226577798135808","Deleted User","2024-08-28T12:22:23.4440000+00:00","YES","",""
"712298805982396477","djesse","2024-08-28T12:22:27.7280000+00:00","star gives ranks to everyone","",""
"1168492697401700406","iron_56538","2024-08-28T12:22:31.5320000+00:00","what do gems do","",""
"826470891935629333","3_tap","2024-08-28T12:22:43.6150000+00:00","Idk","",""
"456226577798135808","Deleted User","2024-08-28T12:22:59.7050000+00:00","EVENT MANAGER WHEN?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!","",""
"806746993628020811","horyzonal","2024-08-28T12:23:01.0460000+00:00","how much money does sickens make from ranks and stuff","","💀 (1)"
"826470891935629333","3_tap","2024-08-28T12:23:07.2670000+00:00","Djess do a barrel roll","",""
"712298805982396477","djesse","2024-08-28T12:23:21.9990000+00:00","Don't have that mod right now","",""
"826470891935629333","3_tap","2024-08-28T12:23:26.7390000+00:00","Ok","",""
"712298805982396477","djesse","2024-08-28T12:23:28.2630000+00:00","I updated everything to 1.21","",""
"806746993628020811","horyzonal","2024-08-28T12:23:41.2950000+00:00",":o","",""
"456226577798135808","Deleted User","2024-08-28T12:24:05.4770000+00:00","is that gojo","",""
"806746993628020811","horyzonal","2024-08-28T12:24:12.3510000+00:00","todei","",""
