AuthorID,Author,Date,Content,Attachments,Reactions
"517967799302488064","siqns","2025-03-09T15:30:21.8140000+00:00","#  🏗️ NEW SPAWN

Our lobby has been completely revamped and have been fitted with a new spawn, designed by the only amazing builder of 50xCreative - **@Djesse **! ✨  
There will be no sneak peeks, as we want to keep the excitement going throughout the maintenance period. Rest assured that it will provide an even more immersive experience for all!

***📢 How's the maintenance progress?**
All admins and developers (including me) have been putting tremendous effort into making 50xCreative a better experience for everyone, we are working very hard to improve every possible aspect of the creative experience to everyone, so stay tuned for more new updates as such. We once again apologize for any inconvenience caused, especially for those who fell deeply in love with the server.

Kind regards,
siqns
-# Owner of 50xCreative

@PING | Updates","","❤️ (4),🔥 (5)"
"517967799302488064","siqns","2025-03-10T15:18:16.5880000+00:00","# 🎨 CANVAS GAMEMODE

There will be a new gamemode called **canvas**, a similar concept to r/place. Players are given the same dimensions as the creative world map but hollow with plain walls for players to paint in their own imagination.

**😤 Where did 50xSurvival go?**
 We have decided not to keep survival as we want to focus more of a creative based gamemodes server, where it would be best for players to experience a dedicated server instead. If we have the opportunity to implement survival in the future, we would. Stay tuned for more updates, I will be more active tomorrow regarding changes.

Kind regards,
siqns
-# Owner of 50xCreative

@PING | Updates","","bluemoji_shock (8),blob_seizure (6)"
"517967799302488064","siqns","2025-03-12T14:50:51.9820000+00:00","# :bob: VOTING CRATE
We have implemented a voting crate system, where you vote for the server and receive a vote crate to possibly win cash, more voting crate keys and even **__PERMANENT__** ranks (No fake ranks, permanent) because we are not a p2w server, and you can't really p2w in a creative server.

Kind regards,
siqns
-# Owner of 50xCreative

@PING | Updates","","🤑 (8),🎰 (10)"
"1025291090481381456","egono","2025-03-12T20:42:16.0900000+00:00","# :LovingDrool: New Store (s)

I have made a new webstore (the look of it), and updated / made a new /buy gui.

Simpler on the eyes, simpler to understand.

Kind regards,
Egono
-# Co-Owner of 50xCreative

@PING | Updates","",""
"517967799302488064","siqns","2025-03-13T16:31:54.1010000+00:00","# 📖 RULE CHANGES
There will be minor rule changes, and further more if necessary.

## 🏳️ MOST FLAG TYPES ARE ALLOWED
We do not mind if you build country flags and flags from various communities such as the LGBTQ, **BUT** you must not build many of it, or build a giant flag that could quite literally take up the map, please be considerate with other players in the server too. We are giving you the freedom to express yourself or be patriotic however you deem fit, and everyone should have a mutual respect, and to not abuse it.

## 🤬 SWEARING IS ALLOWED
You've heard that right, swearing is allowed and has been allowed for quite some time but we didn't really announce it.  BUT, let’s not turn this place into some keyboard warrior showdown. Keep it chill and reasonable, and please don’t go overboard. If you have any issues with someone, staff or player, kindly make a ticket as their higher ups will look into the situation. There's that, no more roblox moderation type shit 👍 

Kind regards,
siqns
-# Owner of 50xCreative
-# PS: Not really an update but just want to let y'all know
-# PPS: @Aple__Tree hates people swearing but now u can troll him but not bully him

@PING | Updates","",""
"1025291090481381456","egono","2025-03-13T17:58:49.3750000+00:00","Fixed 2 bugs

The ability to break everything in spawn
Engineer's not having particles (cosmetic)","",""
"517967799302488064","siqns","2025-03-14T11:13:26.3190000+00:00","# 🔗  VOTING LINKS
We have added 2 voting links so that you are able to vote the server for 2 times a day. If you have any suggestions for the crates or additional websites, do let us know. Again, this is not gambling, treat it like a daily reward if you wish.

Kind regards,
siqns
-# Owner of 50xCreative

@PING | Updates","",""
"1025291090481381456","egono","2025-03-16T14:15:51.2210000+00:00","# ⬜  The Void

We have renowned the void, and the void is now free to everyone (you can talk to eachother and fight, and it is not dark anymore).


Kind regards,
Egono
-# Co-Owner of 50xCreative

@PING | Updates","",""
"517967799302488064","siqns","2025-03-24T00:35:21.2930000+00:00","# :tnt_boom: NO MORE TNT GRIEF
TNT explosions are allowed in all games, where it will only retain the explosion force except for breaking the blocks. Should there be any bugs encountered in the game, do let us know in #🐞・bugs .

Kind regards,
siqns
-# Owner of 50xCreative

@PING | Updates","",""
"1025291090481381456","egono","2025-04-18T19:52:50.4500000+00:00","fixed /lp kick/crash bug + plugin updates","",""
"1025291090481381456","egono","2025-05-18T21:13:08.3090000+00:00","fixed discord commands (finalysz)
@PING | Updates","",""
"1025291090481381456","egono","2025-05-24T08:13:46.8770000+00:00","added mapresets back (the message when a mapreset happens) @PING | Updates","",""
"517967799302488064","siqns","2025-07-31T12:24:33.7860000+00:00","# 👀 IM BACK

wow
isnt it so cool
i guess not
ok

@PING | Updates","","🔥 (26)"
"712298805982396477","djesse","2025-09-24T22:55:47.8330000+00:00","🏗️ NEW SPAWN
Our lobby has been completely revamped and fitted with a brand new spawn, designed and built by the one and only @Djesse ! ✨

🔥 Yes, I built it! 🔥
-# Manager of 50xCreative
@PING | Updates","","❤️ (1)"
"1025291090481381456","egono","2025-09-25T14:07:33.4060000+00:00","i paid for hosting for another half of a year","","✅ (4),🔥 (8)"
"517967799302488064","siqns","2025-09-26T05:17:33.0350000+00:00","# SERVER DOWN 😠 

Server cannot be started due to storage issues.
Even though more than half of the server storage is empty.
Contacted server hosting to resolve this issue ASAP.
Apologies for the inconvenience caused to all players.

-# Owner of 50xCreative
@siqns 

|| @PING | Updates","","😠 (4)"
"1167595787656634478","sggopen","2025-09-26T16:50:55.8530000+00:00","# SERVER IS BACK! 👍

Service has been restored to the server!
Thank you for your patience through this down time.
We apologize for any inconvenience that may of occurred due to the server being down.

-# Admin of 50xCreative
@SG-Gopen 

|| @PING | Updates ||","","👍 (4),🎉 (3),✅ (2)"
"517967799302488064","siqns","2025-09-27T03:30:45.1870000+00:00","# SERVER NODE TRANSFER 🤯 

Due to some unknown issues with the server, I have already contacted our server hosting provider about this issue.
The server is currently being transferred to a new node, meaning it is being moved to a different computer in the hosting company's system.
**HOPEFULLY** it will be more reliable and faster than the existing server.
 
The server will be down for a period of time, we do not have an ETA yet.
We don't know how long, but it is expected to take at least an hour or more.
Updates will be posted here if any.

-# Owner of 50xCreative
@siqns 

|| @PING | Updates ||","",""
"517967799302488064","siqns","2025-09-27T03:43:10.6180000+00:00","# TRANSFER COMPLETE 🥳 

The server node transfer has been completed!
You can now join the server and play.

-# Owner of 50xCreative
@siqns 

|| @PING | Updates ||","",""
"1167595787656634478","sggopen","2025-10-03T00:35:15.6060000+00:00","# SEEMS LIKE THE SERVER IS DOWN 😢

Our services are temporarily down due to unforeseen and unknown reasons.
Our development team is working hard to ensure the server gets back up quickly. Thank you for your patience, and sorry for any inconveniences.

-# Admin of 50xCreative
@SG-Gopen 

|| @PING | Updates ||","","🫡 (2),✅ (3),😩 (2)"
"1167595787656634478","sggopen","2025-10-03T01:12:02.7600000+00:00","# SERVER IS BACK! 👍

Service has been restored to the server!
Thank you for your patience through this down time.
We apologize for any inconvenience that may of occurred due to the server being down.

-# Admin of 50xCreative
@SG-Gopen 

|| @PING | Updates ||","","✅ (2),👍 (2),🎉 (2),😩 (2),🫡 (2)"
"1167595787656634478","sggopen","2025-10-03T10:53:49.7470000+00:00","# SEEMS LIKE THE SERVER IS DOWN 😢

Our services are temporarily down due to unforeseen and unknown reasons.
Our development team is working hard to ensure the server gets back up quickly. Thank you for your patience, and sorry for any inconveniences.

-# Admin of 50xCreative
@SG-Gopen 

|| @PING | Updates ||","",""
"757997811055984760","kundaliel","2025-10-03T11:25:15.2670000+00:00","Yeah it's up","",""
"757997811055984760","kundaliel","2025-10-03T11:25:24.5900000+00:00","@PING | Updates","",""
"1167595787656634478","sggopen","2025-10-03T11:28:51.6240000+00:00","What he said","",""
"517967799302488064","siqns","2025-10-13T07:02:33.7350000+00:00","# New Manager

After careful and tedious considerations with the management team, it is my pleasure to promote @DecisiveOhio6 to **Manager**! 🥳 

He will oversee the entire server alongside with @Djesse as Decisive has shown tremendous effort and dedication in the server. Congratulations 🎊 

@siqns 
-# Owner of 50xCreative 

@PING | Updates","","🎉 (6),🫡 (6),✅ (7)"
"1167595787656634478","sggopen","2025-12-25T15:36:43.0580000+00:00","Merry chroma","",""
