AuthorID,Author,Date,Content,Attachments,Reactions
"1129778600925745192","50xCreative | Server Rules","2023-07-15T14:39:29.0990000+00:00","# 50xCreative Discord Rules

__**GENERAL SERVER RULES**__
### Respectful Behaviour.
Treat all members and staff with respect and maintain a family-friendly atmosphere. Do not engage in any form of harassment, discrimination, or bullying. If you have concerns or questions, address one of our staff members politely and privately.
### No spamming or self-promotion.
Do not repeatedly post the same (or similar) content to garner attention, annoy people or other reasons.
### Keep discussions appropriate.
Maintain a family-friendly atmosphere. Do not share explicit, private, NSFW (Not Safe for Work), or offensive contents.
### No bullying or personal attacks.
Do not engage in personal attacks, insults, or any behavior that threatens or harasses other members. Disagreements should be handled respectfully.
### Use the appropriate channels.
Post content in the relevant channels to keep the server organized and make it easier for newcomers to find information.
### No excessive swearing or offensive language.
Avoid excessive use of profanity or offensive language that could make others uncomfortable.
### No advertising or solicitation.
Do not promote or advertise external products, services, or communities without permission from the server staffs. 
### Keep conversations on-topic.
Stick to the relevant topic in each channel. Avoid derailing conversations or engaging in excessive off-topic discussions.

__**ADDITIONAL INFORMATION**__

Besides following our server rules, it is mandatory to also follow:
* [Discord's Terms of Service](https://discord.com/terms)
* [Discord's Community Guidelines](https://discord.com/guidelines)

Remain civil and use common sense. 

**Have fun at 50xCreative!**","","✅ (314)"
"1025291090481381456","egono","2024-05-14T14:47:13.4300000+00:00","> **INGAME RULES:**


No griefing, modifying or defaming builds.
No advertising or promoting goods or services.
No inappropriate names, skins, builds or behaviour.
No begging or solicitng for any items or ranks.
No repeated standalone flag builds of more than 5 times.
No builds or machines that causes lag or TPS drops.
No abusing exploits / crashing the server.
No sharing of custom items to players that are not in /nbts
No constant arguing or fighting in the server.
No acts of threats or bullying in the server.
No revelation of personal information of anyone here.
No forms of communism or politics allowed.
No custom items or NBTs from saved menus. (Allowed if you have NBT permissions, and does not have a lag component.)
No forms of annoyance of anything (e.g. chat flood & etc).
No claiming land in the creative wordld, build considerately. (allow malls - maximum land claim is 12x12 - should be sellable ALWAYS.)
No building non country flags (to prevent conflict).
Flying while being AFK in Plot world is not allowed. Flying more than 5000ish blocks. (Will be counted as Lag machine ban.)

AND MOST IMPORANTLY:
NO LOOPHOLES

> **AND REMEMBER**
> Admins are able to modify the rules, punish players at any given time without any prior notice(s) however they deem the actions to be inappropriate.","","✅ (211)"
"517967799302488064","siqns","2025-02-11T12:09:15.0060000+00:00","no evasion of any punishments ✅","",""
"517967799302488064","siqns","2025-02-11T12:10:12.2100000+00:00","which includes no workarounds to evade any other punishment (including using VPNs)","",""
"712298805982396477","djesse","2025-03-01T09:11:21.9970000+00:00","Some people forgot about this rule, please don't ‼️","https://cdn.discordapp.com/attachments/1129338649629175818/1345322512791371821/image.png?ex=69bfb239&is=69be60b9&hm=369ccc360d96ff032f223a322ec250b0fdeb6a75d300a7af9cc05092332f9c02&","✅ (102)"
"712298805982396477","djesse","2025-03-01T09:12:31.8330000+00:00","@everyone ⬆️ ⬆️ ⬆️","",""
"517967799302488064","siqns","2025-08-11T08:55:23.2330000+00:00","Will be redoing the rules here and in the minecraft server for added clarification :D","",""
"1025291090481381456","egono","2025-08-11T09:39:17.2860000+00:00","Shush","",""
"517967799302488064","siqns","2025-08-13T10:51:18.2910000+00:00","I said","",""
"517967799302488064","siqns","2025-08-13T10:51:22.3350000+00:00","No pinging everyone","",""
