AuthorID,Author,Date,Content,Attachments,Reactions
"1129336362705887282","50xcreative#9271","2023-07-18T10:00:09.4820000+00:00","@Map Resets Map reset complete!","","🦆 (10),🥖 (7),🐔 (5)"
"1129336362705887282","50xcreative#9271","2023-07-18T15:29:00.9800000+00:00","@Map Resets Map reset complete!","","🦆 (4),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-18T18:00:39.1240000+00:00","@Map Resets Map reset complete!","","🦆 (4),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-18T20:46:11.7160000+00:00","@Map Resets Map reset complete!","","🦆 (4),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-19T01:49:32.2220000+00:00","@Map Resets Map reset complete!","","🦆 (4),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-19T06:28:42.8360000+00:00","@Map Resets Map reset complete!","","🦆 (4),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-19T11:18:02.6490000+00:00","@Map Resets Map reset complete!","","🦆 (4),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-19T13:55:58.0180000+00:00","@Map Resets Map reset complete!","","🦆 (4),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-19T13:57:01.3820000+00:00","@Map Resets Map reset complete!","",""
"1129336362705887282","50xcreative#9271","2023-07-19T16:40:19.3260000+00:00","@Map Resets Map reset complete!","","🦆 (5),🐔 (1)"
"810206685494378526","dann.exe","2023-07-19T17:05:14.8810000+00:00","STOP SENDING DUCKS !!😩","","🦆 (5),🐔 (1),🧓 (1)"
"1129336362705887282","50xcreative#9271","2023-07-19T21:51:58.0260000+00:00","@Map Resets Map reset complete!","","🦆 (4),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-20T03:47:24.5050000+00:00","@Map Resets Map reset complete!","","🦆 (4),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-20T07:50:53.5310000+00:00","@Map Resets Map reset complete!","","🦆 (5),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-20T09:26:19.1380000+00:00","@Map Resets Map reset complete!","","🦆 (5),🐔 (1)"
"907920882167607357","its_zeal","2023-07-20T11:15:46.9880000+00:00","Stop reacting with duck emojis 💀💀💀","","🦆 (8),🔫 (2),💀 (3),⬅️ (2),🇱 (3),🐔 (2)"
"1129336362705887282","50xcreative#9271","2023-07-20T13:27:04.3050000+00:00","@Map Resets Map reset complete!","","🦆 (4),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-20T17:12:04.8780000+00:00","@Map Resets Map reset complete!","","🦆 (4),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-20T21:58:43.9020000+00:00","@Map Resets Map reset complete!","","🦆 (3),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-21T03:38:57.8380000+00:00","@Map Resets Map reset complete!","","🦆 (3),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-21T07:28:51.3290000+00:00","@Map Resets Map reset complete!","","🦆 (3),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-21T13:27:05.9240000+00:00","@Map Resets Map reset complete!","","🦆 (2),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-21T15:14:23.8360000+00:00","@Map Resets Map reset complete!","","🦆 (4),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-21T18:20:08.5350000+00:00","@Map Resets Map reset complete!","","🦆 (4),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-21T20:57:41.6360000+00:00","@Map Resets Map reset complete!","","❤️ (3),🦆 (4),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-21T23:26:48.3510000+00:00","@Map Resets Map reset complete!","","🦆 (4),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-22T06:20:00.3020000+00:00","@Map Resets Map reset complete!","","🦆 (4),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-22T11:09:01.8120000+00:00","@Map Resets Map reset complete!","","🦆 (4),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-22T12:48:48.0490000+00:00","@Map Resets Map reset complete!","","🦆 (4),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-22T15:12:13.2660000+00:00","@Map Resets Map reset complete!","","🦆 (4),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-22T18:41:50.9690000+00:00","@Map Resets Map reset complete!","","🦆 (4),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-22T21:26:26.0190000+00:00","@Map Resets Map reset complete!","","🦆 (5),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-23T04:28:02.8710000+00:00","@Map Resets Map reset complete!","","🦆 (5),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-23T08:27:49.4100000+00:00","@Map Resets Map reset complete!","","🦆 (3),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-23T09:59:29.5850000+00:00","@Map Resets Map reset complete!","","🦆 (4),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-23T12:17:46.8000000+00:00","@Map Resets Map reset complete!","","🦆 (4),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-23T18:48:43.6860000+00:00","@Map Resets Map reset complete!","","🦆 (4),🐔 (1)"
"1129336362705887282","50xcreative#9271","2023-07-23T22:37:42.4210000+00:00","@Map Resets Map reset complete!","","🦆 (4),🐔 (1)"
