AuthorID,Author,Date,Content,Attachments,Reactions
"1354894912092377380","amsity","2026-01-06T16:57:53.1010000+00:00","when i tab out of minecraft  theres a high precentage for genuinely no reason i can make up that i get kicked and it just says on the kick message ""timed out"" PLEASE FIX THIS IVE GOTTEN KICKED LIKE 10+ TIMES TODAY I HATE IT I DESPISE IT PLE;ASE","","‼️ (1)"
"1311415672277958738","mikazeka2","2026-01-06T16:58:28.0840000+00:00","like instantly?","",""
"1354894912092377380","amsity","2026-01-06T16:58:56.3510000+00:00","instantly yes","",""
"1354894912092377380","amsity","2026-01-06T16:59:07.3710000+00:00","but theres no like specific time where it does it","",""
"1354894912092377380","amsity","2026-01-06T16:59:11.7630000+00:00","it just does it sometimes when i tab out","",""
"1354894912092377380","amsity","2026-01-06T16:59:19.1800000+00:00","some other times when i tab out im perfectly good","",""
"1311415672277958738","mikazeka2","2026-01-06T16:59:43.4180000+00:00","thats weird","",""
"1354894912092377380","amsity","2026-01-06T17:00:01.7230000+00:00","its been happening for like a lot of time now","",""
"1354894912092377380","amsity","2026-01-06T17:00:06.1520000+00:00","not that recent of a bug","",""
"1098372733852717116","soupaasd","2026-01-06T17:00:22.9730000+00:00","your timing might just be perfect enough to happen when your internet does a thing","",""
"1354894912092377380","amsity","2026-01-06T17:00:26.0610000+00:00","like i was getting this exact shi months ago when i rejoined the server","",""
"1354894912092377380","amsity","2026-01-06T17:00:38.0650000+00:00","i dont think its about my internet cuz","",""
"1354894912092377380","amsity","2026-01-06T17:00:39.5650000+00:00","it only happens on 50x","",""
"1354894912092377380","amsity","2026-01-06T17:00:44.8460000+00:00","ive only EVER seen it on 50x","",""
"1098372733852717116","soupaasd","2026-01-06T17:01:04.0300000+00:00","well i cant really help you much other than","",""
"1098372733852717116","soupaasd","2026-01-06T17:01:10.3230000+00:00","wait what server are you using","",""
"1098372733852717116","soupaasd","2026-01-06T17:01:13.5230000+00:00","eu or na","",""
"1354894912092377380","amsity","2026-01-06T17:01:33.6280000+00:00","eu","",""
"1098372733852717116","soupaasd","2026-01-06T17:01:46.6930000+00:00","and do you live in north america","",""
"1354894912092377380","amsity","2026-01-06T17:01:57.2430000+00:00","i do not","",""
"1098372733852717116","soupaasd","2026-01-06T17:02:01.9150000+00:00","well then","",""
"1354894912092377380","amsity","2026-01-06T17:02:02.8820000+00:00","i live in europe","",""
"1098372733852717116","soupaasd","2026-01-06T17:02:03.1980000+00:00","uhh","",""
"1098372733852717116","soupaasd","2026-01-06T17:02:06.6150000+00:00","i dont know how to help ya","",""
"1354894912092377380","amsity","2026-01-06T17:02:15.4090000+00:00","😭😭😭","",""
"1354894912092377380","amsity","2026-01-06T17:02:17.1230000+00:00","IM CRINEEEEEEEEEE","",""
"640579687822917649","mynameisbob1928","2026-01-06T17:10:57.6480000+00:00","does it do this on other servers","",""
"1354894912092377380","amsity","2026-01-06T18:27:05.1840000+00:00","nope","",""
"1354894912092377380","amsity","2026-01-06T18:27:08.4590000+00:00","genuinely only on 50x","",""
"640579687822917649","mynameisbob1928","2026-01-06T18:27:14.3340000+00:00","lmfao","",""
"1354894912092377380","amsity","2026-01-06T18:27:25.1940000+00:00","idk what to do bro 😭😭","",""
