AuthorID,Author,Date,Content,Attachments,Reactions
"1177977545099059283","fragolamoon_","2026-02-13T23:11:35.0860000+00:00","@Kundaliel  can you fix this because i can't un-ignore people","https://cdn.discordapp.com/attachments/1472007325974925332/1472007326406803536/image.png?ex=69c11fe7&is=69bfce67&hm=365622dafdd81d96e219979815269a796d77fe518c63be9697d27413885900f6&",""
"757997811055984760","kundaliel","2026-02-14T00:15:31.0420000+00:00","No","",""
"1177977545099059283","fragolamoon_","2026-02-14T10:53:51.9980000+00:00","noob","",""
"1430296411400044747","s4ap_","2026-02-17T16:19:23.4900000+00:00","why is sg there like 200 times","",""
"1177977545099059283","fragolamoon_","2026-02-17T17:14:10.0560000+00:00","tried to un-ignore him","",""
"1430296411400044747","s4ap_","2026-02-17T18:44:48.9370000+00:00","lol","",""
"1452455946088353794","skylerhg41","2026-03-19T05:08:11.0730000+00:00","bro hates SGGOpen","",""
"1452455946088353794","skylerhg41","2026-03-19T05:08:15.6650000+00:00","what did he do to you","",""
"1071507297148346368","bainse","2026-03-21T21:30:14.5350000+00:00","exactly","",""
"1071507297148346368","bainse","2026-03-21T21:30:31.4320000+00:00","I used it on myself and now I cannot see my own messages 😔","",""
