AuthorID,Author,Date,Content,Attachments,Reactions
"1349188586309685361","d0m____","2026-03-21T18:00:33.5620000+00:00","Bring back the best 50x ex staff, i want to:
-make griefing a permban
-make staff re-apply for competence
-have staff be trained more, not just one time
-provide incentives for staff to keep working and hold them accoutnable to interact with the players.
-Free femboys!
-Bring back /NBTs","https://cdn.discordapp.com/attachments/1484975017031631069/1484975017342275736/2024-10-11_23.30.44.png?ex=69c0d701&is=69bf8581&hm=da515675462ac3fe4f2dacc2aa9a91bbd080ab7ccea8cb31855139d76ca9a0aa&","💎 (1)"
"957218887496269874","tofferleel12","2026-03-21T18:06:23.5030000+00:00","how long were you banned","",""
"1349188586309685361","d0m____","2026-03-21T18:06:29.4120000+00:00","for over a year","",""
"957218887496269874","tofferleel12","2026-03-21T18:06:30.5510000+00:00","/nbts is back","",""
"1349188586309685361","d0m____","2026-03-21T18:06:32.9020000+00:00","since october 2024","",""
"957218887496269874","tofferleel12","2026-03-21T18:06:36.5090000+00:00","its has been for a while","",""
"1349188586309685361","d0m____","2026-03-21T18:06:43.8010000+00:00","i'll make it better","",""
"1349188586309685361","d0m____","2026-03-21T18:06:51.3420000+00:00","i'll add......","",""
"1349188586309685361","d0m____","2026-03-21T18:06:53.7120000+00:00","an NBT","",""
"1349188586309685361","d0m____","2026-03-21T18:07:01.0570000+00:00","🤯","",""
"957218887496269874","tofferleel12","2026-03-21T18:07:14.7820000+00:00","so swiss","",""
"957218887496269874","tofferleel12","2026-03-21T18:07:23.8550000+00:00","it would be REALLY funny","",""
"957218887496269874","tofferleel12","2026-03-21T18:07:26.8340000+00:00","if you do get admin","",""
"1349188586309685361","d0m____","2026-03-21T18:09:09.2800000+00:00","it would be","",""
"1349188586309685361","d0m____","2026-03-21T18:09:14.9430000+00:00","i need something to do in my spare time","",""
"1177977545099059283","fragolamoon_","2026-03-21T19:51:28.5820000+00:00","counting or not counting gang violence","",""
"1098372733852717116","soupaasd","2026-03-22T02:19:15.4440000+00:00","the first thing is a no","",""
"1098372733852717116","soupaasd","2026-03-22T02:19:17.7490000+00:00","i think its fair","",""
"570127652334075925","andezp","2026-03-22T05:18:35.8950000+00:00","Can i not reapply? I have alot going in my life, I don't want gaming to be in my life anymore","",""
"1430296411400044747","s4ap_","2026-03-22T08:53:01.8520000+00:00","you suck","",""
