AuthorID,Author,Date,Content,Attachments,Reactions
"1192432339033272320","n0xolotl","2026-03-21T16:07:10.0920000+00:00","hey, im nox. ive been playing on this server for over 4 years, and i do hold this place very close to my heart.  something unique about 50x is that there is a special place for banned members, along with a secret command to go there. (dm me for further info.) i wish for you to bring back the original 50void, the one with the slimefun mod and the special sea lantern floor. you might not know what im talking about, but this place was one of the truly most important place to me. I spent weeks grinding in the void, and it would be amazing if we could bring that back. If you are interested in this, feel free to send me a dm. I remember most of the exact things inside it, so i would be open to collaborate. 
Peace, your local voidling, n0xolotl.","",""
"957218887496269874","tofferleel12","2026-03-21T16:11:36.5600000+00:00","the ""special command"" is /server void","",""
"1192432339033272320","n0xolotl","2026-03-21T16:11:51.6260000+00:00","man of culture","",""
"957218887496269874","tofferleel12","2026-03-21T16:12:11.6980000+00:00","i have 19 unbreakable iron ingots","",""
"1192432339033272320","n0xolotl","2026-03-21T16:12:16.4780000+00:00","the amount of time i spent waiting for witches to spawn in my mob farm to get villagers","",""
"1192432339033272320","n0xolotl","2026-03-21T16:12:42.3490000+00:00","yo if the sealanternvoid comes back we should fr team","",""
"1192432339033272320","n0xolotl","2026-03-21T16:12:54.4990000+00:00","slime boots are best though trust","",""
"957218887496269874","tofferleel12","2026-03-21T16:13:02.9270000+00:00","also unbreakable diamond helmet, boots and pickaxe","","🔥 (1)"
"1192432339033272320","n0xolotl","2026-03-21T16:13:12.9380000+00:00","respect your grind damnnn","",""
"1260410076301099040","kippytano","2026-03-21T16:42:58.5320000+00:00","@n0xolotl this seems like a fun idea! Definitely unique! It almost makes being banned worse lol 😂 I will definitely keep it in mind","","❤️ (1)"
"570127652334075925","andezp","2026-03-22T08:58:23.8460000+00:00","Oh wait yeah i know what you're talking about the place where you had reuseable building blocks","",""
"570127652334075925","andezp","2026-03-22T08:58:56.9500000+00:00","Yeah the void is too playful now, the plain sea lantern superflat is more torture, better imo","",""
