AuthorID,Author,Date,Content,Attachments,Reactions
"1355031336620003508","someone_17504","2026-03-21T16:10:50.8050000+00:00","guys i think we shoudl add guns because we need to HEAVILY show freedom in 50x so thats why we should add it","",""
"1355031336620003508","someone_17504","2026-03-21T16:11:05.1130000+00:00","definitly not a shitpost trust","",""
"705384820578189383","laurits123_","2026-03-21T18:21:08.8470000+00:00","i agree","",""
"1071507297148346368","bainse","2026-03-21T21:26:36.8790000+00:00","i agree","",""
"570127652334075925","andezp","2026-03-22T05:33:19.8790000+00:00","Even better: add Queen to 50x","",""
"1355031336620003508","someone_17504","2026-03-22T05:33:30.4850000+00:00","nonon","",""
"1355031336620003508","someone_17504","2026-03-22T05:33:37.3380000+00:00","add M48 patton tanks","",""
"570127652334075925","andezp","2026-03-22T05:35:09.6150000+00:00","Add muffins","",""
"1355031336620003508","someone_17504","2026-03-22T05:35:25.4600000+00:00","add ability to cause ""peace""","",""
"570127652334075925","andezp","2026-03-22T05:35:30.6230000+00:00","No","",""
"570127652334075925","andezp","2026-03-22T05:35:36.1620000+00:00","Add nasi goreng","",""
"570127652334075925","andezp","2026-03-22T05:36:51.1350000+00:00","Make don't stop me now the main theme of 50x","",""
"1355031336620003508","someone_17504","2026-03-22T05:37:42.7790000+00:00","add ability to explode","",""
"570127652334075925","andezp","2026-03-22T05:39:38.2380000+00:00","Do not make dominateur manager","",""
