AuthorID,Author,Date,Content,Attachments,Reactions
"1355031336620003508","someone_17504","2025-12-31T07:37:11.8110000+00:00","guys we need M16A1 loaded with 5.56mm NATO round GOC scope and M203 greande launcher because we need to HEAVILY show freedom in 50xCreative and the void server","https://cdn.discordapp.com/attachments/1455827113470070806/1455827113839038528/Screenshot_2025-12-22_185805.png?ex=69c0eda7&is=69bf9c27&hm=0f51dddcc3e9db3648feed51b18942dacb2e5744b99059d89d2d83aa46c86998&","✅ (8)"
"1287437393238163498","imlucidd.","2025-12-31T07:50:12.8180000+00:00","add this","",""
"1098372733852717116","soupaasd","2025-12-31T16:17:10.7500000+00:00","i would love this if we could add it","",""
"1098372733852717116","soupaasd","2025-12-31T16:18:52.0910000+00:00","but were not running arclight","",""
"640579687822917649","mynameisbob1928","2025-12-31T17:24:56.5720000+00:00","Get kunda to do smt","",""
"883709761864990760","virtualxavier","2025-12-31T21:12:57.0490000+00:00","@Kundaliel","",""
"883709761864990760","virtualxavier","2026-01-06T16:04:44.4820000+00:00","","https://cdn.discordapp.com/attachments/1455827113470070806/1458129167970472105/Screenshot_20260106_081924_Discord.jpg?ex=69c0bbdc&is=69bf6a5c&hm=dbbd550c867674a2007bb4a5e03415b8b39b88339fcbb7ce92ce0ae3895dc751&",""
"1355031336620003508","someone_17504","2026-01-07T10:47:10.9850000+00:00","","https://cdn.discordapp.com/attachments/1455827113470070806/1458411639689842770/Screenshot_2026-01-06_205830.png?ex=69c11a2e&is=69bfc8ae&hm=f1b641e667ee688f8018d647aac93f264ef03fbdd2d97fe7d2d3790deeaa2820&",""
"1287437393238163498","imlucidd.","2026-01-07T14:47:21.8820000+00:00","cusmic is going insane","",""
"1275057866222604311","deafsponge","2026-01-10T20:07:25.7010000+00:00","Dope","",""
"1355031336620003508","someone_17504","2026-01-14T12:51:21.5720000+00:00","i aint going insane","",""
"883709761864990760","virtualxavier","2026-01-14T12:51:32.6580000+00:00","Yes","",""
"1355031336620003508","someone_17504","2026-01-14T12:51:45.0680000+00:00","i just tell everyone this way to not trust what i say","",""
"1060751009435103363","star_rooots","2026-01-21T00:12:20.7360000+00:00","Fire","","🫃 (1),👨🏿‍❤️‍💋‍👨🏿 (1)"
"705384820578189383","laurits123_","2026-03-21T15:04:36.6410000+00:00","absolutely","",""
"705384820578189383","laurits123_","2026-03-21T15:04:39.4520000+00:00","we need this","",""
