AuthorID,Author,Date,Content,Attachments,Reactions
"1138975017988804772","faxmachine1","2026-03-21T18:52:02.2810000+00:00","Hello @Kippy and @hey ; I am thrilled to see that this server is under new management! This ""new chapter"" seems promising. I am not sure if you have been a part of this server before the decline in players- I'd like to point out a few flaws that contributed to the server's lack of success.

First and foremost: both @siqns and @Egono were immature and did not take any seriousness in the server's management, nor did the developer(s) (as you may know, Kundaliel and his outburst exemplified this). In order to maintain an active and respectable player base, you need to return the same respect that you would want from your own community. This seems like a give-in, but you would be surprised to know the amount of servers that I have seen fail from this very reason.

Secondly, the community engagement was never consistently high. While there was an occasional event hosted once in a while, a large portion of them were spontaneous and weren't given any advance- this meant less players were actually able to plan around it and participate, which meant a less entertaining event all around.

Thirdly, there was a lack of management for the staff team. There were (and still are) many unqualified staff, some being in high-ranking positions that risk the integrity of both the Discord and Minecraft fronts of the server. I think a way to solve this would be to appoint a specific, one-person role dedicated to managing the staff applications and promotions- if you'd like, you could also have a checks-and-balances system in which the owners approve/deny decisions made by this staff manager. This would increase the efficiency of the staff progression, which would keep the staff members engaged and constantly working towards an achievable goal, while simultaneously weeding out the weak or underqualified staff.

I believe that this server could be moving in a great direction- just with a few tweaks and changes. DM me for more!","",""
"1311415672277958738","mikazeka2","2026-03-21T18:52:38.4200000+00:00","holy yapping","",""
"1025291090481381456","egono","2026-03-21T18:52:47.1380000+00:00","thanks faxmachine","",""
"1138975017988804772","faxmachine1","2026-03-21T18:53:40.1470000+00:00","They call me the Yap_Machine1 🤑","",""
"1260410076301099040","kippytano","2026-03-21T18:54:08.2470000+00:00","i dont really know waht you mean by immature","",""
"1260410076301099040","kippytano","2026-03-21T18:54:13.3110000+00:00","and i never kicked any of the devs","",""
"1260410076301099040","kippytano","2026-03-21T18:54:15.8490000+00:00","or demoted them lol","",""
"1260410076301099040","kippytano","2026-03-21T18:54:27.5440000+00:00","i didnt touch roles until they tried to nuke the server","",""
"1260410076301099040","kippytano","2026-03-21T18:54:52.8670000+00:00","o wait","",""
"1260410076301099040","kippytano","2026-03-21T18:54:55.7000000+00:00","ur talkin abt siqns","","😭 (1)"
"1260410076301099040","kippytano","2026-03-21T18:54:56.8110000+00:00","mb twin","",""
"1260410076301099040","kippytano","2026-03-21T18:55:23.1250000+00:00","i mean ive been nothin but respectul","",""
"1260410076301099040","kippytano","2026-03-21T18:55:28.3400000+00:00","look at the announcemnt","",""
"1260410076301099040","kippytano","2026-03-21T18:55:37.6520000+00:00","ive directly tolled people my dms are open","",""
"1260410076301099040","kippytano","2026-03-21T18:55:43.4790000+00:00","to make sure they feel they can talk to me","",""
"1138975017988804772","faxmachine1","2026-03-21T18:57:46.7190000+00:00","I was mainly referencing the old management when I was talking about lack of motivation/care- I think that respect is a great start, but taking action and making changes is key","",""
"517967799302488064","siqns","2026-03-21T18:59:03.6260000+00:00","?","",""
"517967799302488064","siqns","2026-03-21T18:59:20.7560000+00:00","Why say these things the moment ownership is transfered?","",""
"1138975017988804772","faxmachine1","2026-03-21T19:04:23.7430000+00:00","I made a couple attempts to give you guys feedback, but I feel as if I wasn't taken very seriously","",""
"517967799302488064","siqns","2026-03-21T19:08:24.2770000+00:00","In what way?","",""
"517967799302488064","siqns","2026-03-21T19:08:33.3370000+00:00","And when?","",""
"1138975017988804772","faxmachine1","2026-03-21T19:09:19.5810000+00:00","While I was staff- I made attempts to talk with you on voice chats, as well as messages on the Minecraft server when I had ideas","",""
"570127652334075925","andezp","2026-03-22T05:32:42.7860000+00:00","Kundaliel sudoed me multiple times but that's fine imo","",""
"957218887496269874","tofferleel12","2026-03-22T10:14:32.0860000+00:00","@Fax_Machine1  buddy is NOT @Phazing_Gamez","",""
"570127652334075925","andezp","2026-03-22T10:30:57.8500000+00:00","But fax machine was peak 2b2t player :yellowholdingbacktears:","",""
"517967799302488064","siqns","2026-03-22T12:17:38.1910000+00:00","doubt so","",""
"1352922084438708226","cwookiethecw","2026-03-22T15:22:22.3160000+00:00","who's this guy","",""
