AuthorID,Author,Date,Content,Attachments,Reactions
"755983313642061824","soundwaveknight","2026-03-21T21:06:33.2690000+00:00","locking nbts to paid ranks was the worst change this server made, letting players freelt use nbts that they found made rhe server so much fun","","star (1)"
"784518893414514699","clayplayz1","2026-03-21T21:19:11.2400000+00:00","Nono, the rank is like a ""insurance"" if you somehow destroy the server with a default rank, nothing to lose, but with a paid rank theres YOUR money on the line if you mess up the server.","",""
"755983313642061824","soundwaveknight","2026-03-21T21:21:09.7480000+00:00","how can u destroy the server w nbts i played consistently when nbts were available for ages","",""
"784518893414514699","clayplayz1","2026-03-21T21:22:13.1290000+00:00","nbts can become destructive","",""
"784518893414514699","clayplayz1","2026-03-21T21:22:24.1180000+00:00","have you not seen what they can do for griefers","",""
"755983313642061824","soundwaveknight","2026-03-21T21:41:18.9430000+00:00","i genuinely havent","",""
"784518893414514699","clayplayz1","2026-03-21T21:43:46.3810000+00:00","imagine placing down a spawner suddenly spawns millions of armor stands that each contain 100s of thousands of characters that can crash your game, and the server","",""
"1069816785848766575","unbound85_.","2026-03-21T21:59:30.0120000+00:00","now i agree, but it should require knowledge of the server and experience, such as a certain exploit to get nbts that used to exist, and a lot of playtime","",""
"957218887496269874","tofferleel12","2026-03-21T23:05:31.0280000+00:00","i can crash someone with one nbt spawn egg","",""
"957218887496269874","tofferleel12","2026-03-21T23:05:38.0450000+00:00","like phazing said","",""
"957218887496269874","tofferleel12","2026-03-21T23:05:44.8010000+00:00","its just so theres money on the line","",""
"1452455946088353794","skylerhg41","2026-03-22T00:06:25.0190000+00:00","Imagine a time","",""
"1452455946088353794","skylerhg41","2026-03-22T00:06:28.4310000+00:00","Where nons could","",""
"1452455946088353794","skylerhg41","2026-03-22T00:06:32.8920000+00:00","Get command blocks","",""
"1452455946088353794","skylerhg41","2026-03-22T00:06:34.7320000+00:00","Place them","",""
"1452455946088353794","skylerhg41","2026-03-22T00:06:36.8870000+00:00","And op themselves","",""
"1452455946088353794","skylerhg41","2026-03-22T00:06:39.0030000+00:00","Crash the server","",""
"1452455946088353794","skylerhg41","2026-03-22T00:06:45.0870000+00:00","And shut it down permanently","",""
"957218887496269874","tofferleel12","2026-03-22T10:10:47.1600000+00:00","That wouldn’t work as even with creative you still need op to place command blocks or edit them, some thing like a command block minecart could work but it would need a op-ed person to activate it @SkylerHg3","",""
"1260410076301099040","kippytano","2026-03-22T10:13:02.3580000+00:00","We could just make it so there was a command that opened the menu","",""
"957218887496269874","tofferleel12","2026-03-22T10:14:59.4260000+00:00","? Explain please","",""
"1260410076301099040","kippytano","2026-03-22T10:32:14.4020000+00:00","You make a command that opens up the menu","",""
"957218887496269874","tofferleel12","2026-03-22T10:32:46.3370000+00:00","Like /nbts?","",""
"1260410076301099040","kippytano","2026-03-22T10:32:52.8960000+00:00","Yes","",""
"957218887496269874","tofferleel12","2026-03-22T10:33:02.2410000+00:00","That could work","",""
"957218887496269874","tofferleel12","2026-03-22T10:33:09.0910000+00:00","Idk","",""
"957218887496269874","tofferleel12","2026-03-22T10:33:17.5710000+00:00","I don’t really care anymore","",""
"957218887496269874","tofferleel12","2026-03-22T10:33:27.0480000+00:00","I am most likely quiting","",""
"1260410076301099040","kippytano","2026-03-22T10:33:27.1720000+00:00","lol","",""
"1260410076301099040","kippytano","2026-03-22T10:33:34.6170000+00:00","Kk","",""
