AuthorID,Author,Date,Content,Attachments,Reactions
"1137603121183469659","moonslicedd","2025-05-02T20:20:27.0000000+00:00","||@MEMBER@DESIGNERsorry for ping!|| 
Elo!! Hope all of you are having a fabulous day!
And to make that day a tiny bit better... I'll be hosting a building contest with some fun rewards!

__The build theme will be mountains!__
This contest will be starting at 23:30pm (GMT +3) and it'll last for an hour! (No that doesn't stop you from starting early and getting the lead!)
The build's shall be sent in #🏡・builds channel with a mention of @The_Bear__ !!! (build's wont be accepted without these)

**!! RULES !!**
1. No Mods That Give Building Advantages (Like litematica or such).
2. Do not steal idea's/builds from other's! (yes inspiration is allowed but completely just stealing the idea's/builds will not be permitted).
3. All builds must comply with the server's rules.
4. Finish your build within the time limit. (no build's will be accepted after the time end's!!!)
5. The builds must be built solo. (mean's no one is suppost to help you build your mountain but help with detail and such is allowed)

**Rewards**
1st - CREATOR rank and 2000$ in game
(If the rank is temporary (a month or more) or perm will depend on the 1st place winner's build)
2nd - Designer rank/upgrade to architect and 1000$ in game
3rd - 500$ in game
4th/and below - A huge thanks for competing! and hope to see you in some other event's ❤️
(If you end up winning 1st place and don't need the rank it can be given to a player of your choice)

(If you want to take some inspiration for your own build you can check out my build I've yet to finish in my plot (`/p v The_Bear__`))

Hope you have lot's of fun!!!

`The_Bear__ SR. MOD`","","❤️ (3),👷‍♂️ (2),troll (2),bluemoji_wtf (1),durhh (1)"
"1137603121183469659","moonslicedd","2025-05-02T20:24:16.5110000+00:00","If you have any further questions please ask in #💬・general","",""
"1137603121183469659","moonslicedd","2025-05-02T21:10:35.0230000+00:00","@MEMBER @DESIGNER (sorry for ping D:)
The time is extended till 5/3/2025 20:00pm (GMT +3)","","EggDogTail (4),EggDogLeftEye (2),EggDogFace (2),EggDogNose (2),freakytongue (1)"
"1137603121183469659","moonslicedd","2025-05-02T23:43:15.8450000+00:00","@MEMBER @DESIGNER (SORRY FOR THE PING)
The rewards just got higher!!! (yall should tune in for ts fr)","","🔥 (3),❌ (1)"
"1025291090481381456","egono","2025-05-03T07:40:54.9350000+00:00","Ends 3/5/2025 5:00 PM","",""
"1025291090481381456","egono","2025-05-03T07:41:32.0410000+00:00","I'll also be the judge","",""
"1137603121183469659","moonslicedd","2025-05-03T11:26:06.4440000+00:00","There are 3judges btw.
`The_Bear__`
`Djesse_`
`Egono`","","🥵 (4),🇮 (1),Ⓜ️ (1),🅱️ (1),🇺 (1),🇸 (1),🇾 (1)"
"1137603121183469659","moonslicedd","2025-05-03T16:31:31.6470000+00:00","@MEMBER @DESIGNER less than 30minutes left 😨","","👍 (3),LovingDrool (2),🇳 (5),🇴 (4),🇵 (4),🇪 (3),👷‍♂️ (1),🇾 (2),🇸 (2),‼️ (2),🫃 (1),🐴 (2),🦍 (1),🇬🇺 (1)"
"1329106975291867200","helloimswifty","2025-05-03T16:31:45.8030000+00:00","What the flip flop","","🇾 (3),🇪 (3),🇸 (4),🍑 (2),🐷 (1),🧙‍♂️ (2),anger (1)"
"716806465821736970","pug.z","2025-05-03T16:32:39.5060000+00:00","🧙‍♂️","","🧙‍♂️ (6),🇮 (1),🇸 (2),💔 (1),kas_moyai_but_better (1)"
"1137603121183469659","moonslicedd","2025-05-03T17:13:37.2940000+00:00","@MEMBER @DESIGNER Hi again.
The time is getting extended till monday since barelly any of you nerd's entered the contest!
(05/05/25 20:00pm (GMT +3))
hope more of you enter ;')
`The_Bear__`","","🇼 (5),🇭 (2),😭 (2),🎉 (4),🇾 (2),😡 (2),😎 (2),💔 (2),🔥 (1),🫃 (3),👌 (1),freakytongue (2)"
"712298805982396477","djesse","2025-05-03T17:22:11.4010000+00:00","Also don't worry my build doesn't count  😉","","😈 (1),🫃 (3)"
"456226577798135808","Deleted User","2025-05-03T18:57:39.1450000+00:00","ok","","🇳 (2),🇴 (2),LovingDrool (1),🫃 (1),freakytongue (1)"
