AuthorID,Author,Date,Content,Attachments,Reactions
"1025291090481381456","egono","2023-07-17T10:33:28.2670000+00:00","@here cuz yes, if you has donors creates a tickets in #🎫・ticket","",""
"1025291090481381456","egono","2023-07-17T10:35:13.6900000+00:00","If you boost this discord server, u get donor rank and access to Mc Chat, image perms in general.","",""
"1025291090481381456","egono","2023-07-18T13:49:23.7550000+00:00","ok so","","💀 (15)"
"1025291090481381456","egono","2023-07-18T13:49:32.5070000+00:00","7/25/2022 50xcreative birth date 101","","💀 (17)"
"1025291090481381456","egono","2023-07-18T13:49:36.2760000+00:00","and","","💀 (15)"
"1025291090481381456","egono","2023-07-18T13:50:15.2510000+00:00","since i have a camp","","💀 (15)"
"1025291090481381456","egono","2023-07-18T13:50:17.4070000+00:00","summer camp","","💀 (14)"
"1025291090481381456","egono","2023-07-18T13:50:19.6980000+00:00","i cant rly attend","","💀 (14)"
"1025291090481381456","egono","2023-07-18T13:50:26.0120000+00:00","so i will host tommorow","","💀 (14)"
"1025291090481381456","egono","2023-07-18T13:50:29.7550000+00:00","there will be events","","💀 (14)"
"1025291090481381456","egono","2023-07-18T13:50:32.2400000+00:00","giveaways","","💀 (14)"
"1025291090481381456","egono","2023-07-18T13:50:33.7720000+00:00","and","","💀 (14)"
"1025291090481381456","egono","2023-07-18T13:50:35.2480000+00:00","idk","","💀 (14)"
"1025291090481381456","egono","2023-07-18T13:50:38.0730000+00:00","i will figure out","","💀 (14)"
"1025291090481381456","egono","2023-07-18T13:50:53.2020000+00:00","(giveaways will include worldedit nbt etc)","","💀 (15)"
"1025291090481381456","egono","2023-07-18T13:51:24.6380000+00:00","and 50% off all purchases in /buy","","💀 (17)"
"1025291090481381456","egono","2023-07-18T13:51:28.8060000+00:00","i mewant /shop","","💀 (21),Dynamoji15 (11),🤓 (6),🦆 (4)"
"456226577798135808","Deleted User","2023-07-19T14:01:28.7520000+00:00","duck war made a moon","https://cdn.discordapp.com/attachments/1129342020448682015/1131224293636833421/2023-07-19_16.00.58.png?ex=69bff638&is=69bea4b8&hm=fb2dd68986d869405b62cad62ab3814bc7aa0e97ef01a01d53377aebf6f7a2d9&","🌜 (9),🦆 (9)"
"1025291090481381456","egono","2023-07-19T16:44:51.4220000+00:00","@everyone  I RECOMMEND TO JOIN THE SERVER! IM HOSTING BIG, REWARDING EVENTS! (WORLDEDIT, NBT ETC.) JOIN NOW (STARTING IN 15 MINUTES)","","❤️ (10),🗿 (7),🤓 (9),🗣️ (4),🦆 (2)"
"1025291090481381456","egono","2023-07-19T18:19:56.4950000+00:00","@everyone  JOIN BACK HOSTING 2 MORE EVENTS2#@!#@% &#h%$ebytdfsvyetrdgb","","🇫 (1),🇴 (1),🇷 (1),🇹 (1),🇳 (1),🇮 (1),🇪 (1)"
"1025291090481381456","egono","2023-07-30T17:34:54.5870000+00:00","@everyone 

Server (ALL) is going into maintenance.


Why?

if you have been living under a rock, the server has tps issues, lag spikes and crashes skyrocketing.



Until further notice, no maintenance going off.","","👍 (22),🤓 (17),😍 (13),😭 (16),🤷‍♂️ (11),💩 (11),😎 (7),🐧 (7),🍟 (7),🦽 (7),✅ (7),🤡 (8),🥰 (8),🇸 (7),🇮🇪 (7),🅱️ (7),🌎 (6),🥳 (8),🟢 (8),🫄 (10)"
"1025291090481381456","egono","2023-07-30T17:35:05.0010000+00:00","Time:

Unknown.","","💀 (13),🌋 (9),🇮🇪 (9),✅ (7),🇦 (6),🤓 (8),🇵 (6),🤷🏼‍♂️ (6),🅿️ (5),🫄🏼 (6),🇱 (5),🌎 (7),🇾 (4),🫄 (7),🥰 (4),💩 (6),🦆 (5),🐧 (4),🇼 (5),🤡 (6)"
"1025291090481381456","egono","2023-08-01T08:58:23.0480000+00:00","☠️:ban:","","🤓 (2),🇾 (1),🇴 (1),🇺 (1),❓ (1)"
"1025291090481381456","egono","2023-08-04T13:20:18.4680000+00:00","Ok guys I legit forgot 💀

So it's been a year, a long year. Fun also. And all I wanted to say yall a big thank you. Thank you for being here. New ones or old ones I don't care. Just s big thank you for everyone. 

Since I can't really say a thank you with words theese days. Here are giveaways.","","🪢 (1),🗡️ (2)"
"1025291090481381456","egono","2023-08-04T13:20:28.6710000+00:00","@here","",""
