AuthorID,Author,Date,Content,Attachments,Reactions
"517967799302488064","siqns","2024-01-15T14:37:51.0090000+00:00","----------------------   :discord_nitro_basic: Have a spare boost? :discord_nitroboost2: ----------------------  
:discord_nitro_basic:                                                                                              :discord_nitroboost2:
                            :discord_nitroboost2:Boost our discord server! :discord_nitroboost2:                         :discord_nitroboost2:
                       :discord_nitro_basic: 
     :discord_nitro_basic:                               **Perks include:**                                   :discord_nitroboost2:

💎 - Exclusive chat                      Nitro badge next to your username - :discord_nitroboost2: -
:discord_nitroboost2: -  MC Chat Channel                                                        Custom rank  -:discord_nitro_basic:  -
💵 - Donator on the server                                1.2x Luck in giveaways - 🍀 -
🗝️  - Priority to events                                                            Much more  - ❓-

---------------------------------------------------------------------------

### People who boost the server will be sent here!","","discord_nitro_basic (14)"
"517967799302488064","siqns","2024-02-04T04:17:38.4190000+00:00","","",""
"517967799302488064","siqns","2024-02-04T04:17:58.7490000+00:00","","",""
"456226577798135808","Deleted User","2024-02-18T13:56:50.5390000+00:00","","",""
"757997811055984760","kundaliel","2024-02-28T00:32:01.6250000+00:00","","",""
"757997811055984760","kundaliel","2024-02-28T00:32:07.0510000+00:00","","",""
"517772788782727189","nixter._.","2024-03-04T13:51:13.8110000+00:00","","",""
"1025291090481381456","egono","2024-03-10T14:18:40.8700000+00:00","","",""
"1025291090481381456","egono","2024-03-10T14:18:45.9030000+00:00","","",""
"517772788782727189","nixter._.","2024-03-30T17:53:28.5290000+00:00","","",""
"1215706259060424707",".p.diddy.69.","2024-04-07T06:18:46.3420000+00:00","","",""
"1215706259060424707",".p.diddy.69.","2024-04-07T06:18:51.3760000+00:00","","",""
"1007001204431278170","thiscatisd_","2024-06-02T14:18:32.5490000+00:00","","",""
"1007001204431278170","thiscatisd_","2024-06-02T14:18:42.5020000+00:00","","",""
"644887164307505152","coleman.noble","2024-06-02T20:04:34.3330000+00:00","","",""
"644887164307505152","coleman.noble","2024-06-02T20:04:46.0760000+00:00","","",""
"640579687822917649","mynameisbob1928","2024-06-07T18:14:32.6360000+00:00","","",""
"823102525770563595",".aesthetical","2024-06-08T08:18:59.6710000+00:00","","",""
"456226577798135808","Deleted User","2024-06-10T20:06:05.7090000+00:00","","",""
"456226577798135808","Deleted User","2024-06-10T20:06:08.8000000+00:00","","",""
"712298805982396477","djesse","2024-06-10T20:41:00.7980000+00:00","","","omegalul (18)"
"517967799302488064","siqns","2024-06-22T10:34:51.8540000+00:00","","",""
"517967799302488064","siqns","2024-06-24T12:29:49.5790000+00:00","","",""
"948557529779159090","amsyyyy","2024-06-30T14:43:14.1640000+00:00","","","discord_nitroboost (15)"
"712298805982396477","djesse","2024-07-01T11:50:36.2070000+00:00","","","blob_seizure (14)"
"472823444132855809","rowanthestar","2024-07-04T15:43:42.2310000+00:00","","",""
"1007001204431278170","thiscatisd_","2024-07-06T03:14:40.4130000+00:00","","",""
"1025291090481381456","egono","2024-07-08T18:28:09.0730000+00:00","","",""
"1025291090481381456","egono","2024-07-08T18:28:15.5920000+00:00","","",""
"456226577798135808","Deleted User","2024-07-10T02:07:39.8480000+00:00","","",""
"456226577798135808","Deleted User","2024-07-10T02:07:52.3120000+00:00","","",""
"1088944557988782110","akaowi","2024-07-11T03:36:58.9380000+00:00","","",""
"551583285051129866","decisiveohio6","2024-07-13T05:13:56.0910000+00:00","","",""
"541779358130634797","solofighter89","2024-07-18T20:11:30.0070000+00:00","","",""
"711735853298221087","techsupport.exe","2024-07-26T07:22:13.4330000+00:00","","",""
"1088944557988782110","akaowi","2024-08-07T05:23:32.1260000+00:00","","",""
"836748308394278962","imracer","2024-08-09T21:16:15.1140000+00:00","","",""
"456226577798135808","Deleted User","2024-08-12T07:51:38.8120000+00:00","","",""
"456226577798135808","Deleted User","2024-08-12T07:51:51.4690000+00:00","","",""
"517967799302488064","siqns","2024-08-15T23:14:08.6020000+00:00","","",""
"792522699573297164","epicwott","2024-08-16T22:42:38.0130000+00:00","","",""
"912953545966358588","niceguy9897","2024-08-24T15:24:24.7790000+00:00","","",""
"517967799302488064","siqns","2024-08-26T10:10:14.6420000+00:00","","",""
"973962031340335184","gggggggperrb","2024-09-05T21:09:31.6380000+00:00","","",""
"775483257176850442","ender1104","2024-09-07T22:00:07.6750000+00:00","","",""
"456226577798135808","Deleted User","2024-09-10T05:24:19.9560000+00:00","","","silly (10)"
"712298805982396477","djesse","2024-09-21T11:10:20.3450000+00:00","","","blob_seizure (19),Steve_Cool (12),minecraft_bounce (14)"
"1053399913272188978","amilietf","2024-09-27T18:34:45.4900000+00:00","","",""
"1053399913272188978","amilietf","2024-09-27T18:34:48.4880000+00:00","","",""
"456226577798135808","Deleted User","2024-09-27T19:04:35.9580000+00:00","","",""
"712298805982396477","djesse","2024-09-29T16:58:43.8220000+00:00","","",""
