AuthorID,Author,Date,Content,Attachments,Reactions
"780026146312945675",".sirfish.","2023-07-17T09:32:18.2140000+00:00","Joined the server.","","🇹 (19),🇮 (19),🇲 (19)"
"235148962103951360","Carl-bot#1536","2023-07-17T09:32:18.2780000+00:00","Hello, tim33333, welcome to 50xCreatives. You are the 8th member to join.","",""
"1064657188813017179","thoufie","2023-07-17T09:32:24.5970000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:32:24.6620000+00:00","Hello, thoufie, welcome to 50xCreatives. You are the 9th member to join.","",""
"658968552606400512",".goodbee","2023-07-17T09:32:24.7510000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:32:25.0020000+00:00","Hello, .goodbee, welcome to 50xCreatives. You are the 10th member to join.","",""
"628654919439613995","rosy581","2023-07-17T09:32:26.2340000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:32:26.2830000+00:00","Hello, rosy581, welcome to 50xCreatives. You are the 11th member to join.","",""
"674624228892344321","stahlan","2023-07-17T09:32:30.0470000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:32:30.1340000+00:00","Hello, boxboyofficial, welcome to 50xCreatives. You are the 12th member to join.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:32:30.6670000+00:00","Hello, markynouf12, welcome to 50xCreatives. You are the 13th member to join.","",""
"817335114048340008","markynouf12_0001","2023-07-17T09:32:31.8270000+00:00","Joined the server.","",""
"707501498812334081","voidednico","2023-07-17T09:33:36.1880000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:33:36.3000000+00:00","Hello, axolotlalpha, welcome to 50xCreatives. You are the 14th member to join.","",""
"823102525770563595",".aesthetical","2023-07-17T09:33:44.3580000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:33:44.3700000+00:00","Hello, drghostt, welcome to 50xCreatives. You are the 15th member to join.","",""
"771701849467781140","valvon","2023-07-17T09:37:05.6300000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:37:05.7480000+00:00","Hello, valvon, welcome to 50xCreative. You are the 16th member to join.","",""
"971487449253556275","mntg","2023-07-17T09:37:08.4220000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:37:08.4550000+00:00","Hello, mntg, welcome to 50xCreative. You are the 17th member to join.","",""
"583637640633384960","7ib0","2023-07-17T09:37:09.9050000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:37:09.9780000+00:00","Hello, tibodv, welcome to 50xCreative. You are the 18th member to join.","",""
"456226577798135808","Deleted User","2023-07-17T09:37:15.1600000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:37:15.1770000+00:00","Hello, slimi0, welcome to 50xCreative. You are the 19th member to join.","",""
"746808941014548584","agenten001","2023-07-17T09:37:16.4350000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:37:16.4850000+00:00","Hello, agenten001, welcome to 50xCreative. You are the 20th member to join.","",""
"833595066479018085","yakultsenpai","2023-07-17T09:37:19.2720000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:37:19.3490000+00:00","Hello, sour_milk124, welcome to 50xCreative. You are the 21st member to join.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:37:44.7080000+00:00","Hello, sheet_of_paper, welcome to 50xCreative. You are the 22nd member to join.","",""
"706984059183693854","sheet_of_paper","2023-07-17T09:37:44.7560000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:37:55.4900000+00:00","Hello, notnathanvfx_, welcome to 50xCreative. You are the 23rd member to join.","",""
"739412279866425385","neum0_","2023-07-17T09:37:56.2820000+00:00","Joined the server.","",""
"810206685494378526","dann.exe","2023-07-17T09:40:39.3460000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:40:39.3670000+00:00","Hello, dann.exe, welcome to 50xCreative. You are the 24th member to join.","",""
"993032294036144141","nachosgoodnight","2023-07-17T09:41:29.9000000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:41:29.9640000+00:00","Hello, nachosgoodnight, welcome to 50xCreative. You are the 25th member to join.","",""
"712298805982396477","djesse","2023-07-17T09:41:49.0670000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:41:49.0850000+00:00","Hello, djesse, welcome to 50xCreative. You are the 26th member to join.","",""
"1060617163800576020","enduhhh","2023-07-17T09:41:54.7500000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:41:54.7720000+00:00","Hello, berrilmao, welcome to 50xCreative. You are the 27th member to join.","",""
"909009335860989973","haleyisheresmile","2023-07-17T09:44:23.3690000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:44:23.4750000+00:00","Hello, bugbinck, welcome to 50xCreative. You are the 27th member to join.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:44:33.7430000+00:00","Hello, thoufie, welcome to 50xCreative. You are the 28th member to join.","",""
"1064657188813017179","thoufie","2023-07-17T09:44:34.7680000+00:00","Joined the server.","",""
"441243975593230349","blockcrack","2023-07-17T09:44:39.6440000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:44:39.6490000+00:00","Hello, blockcrack, welcome to 50xCreative. You are the 29th member to join.","",""
"880613007846166549","tristone","2023-07-17T09:45:51.6410000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:45:51.7510000+00:00","Hello, tristone, welcome to 50xCreative. You are the 30th member to join.","",""
"456226577798135808","Deleted User","2023-07-17T09:46:05.6160000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:46:05.6500000+00:00","Hello, crystaleu, welcome to 50xCreative. You are the 31st member to join.","",""
"456226577798135808","Deleted User","2023-07-17T09:46:34.0850000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:46:34.4050000+00:00","Hello, icreatedthisaccountforsomereason, welcome to 50xCreative. You are the 32nd member to join.","",""
"456226577798135808","Deleted User","2023-07-17T09:47:22.9180000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:47:22.9400000+00:00","Hello, bambookpanda, welcome to 50xCreative. You are the 33rd member to join.","",""
"953888793654624266","devilishrak","2023-07-17T09:47:26.0290000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:47:26.1100000+00:00","Hello, devilishrak, welcome to 50xCreative. You are the 34th member to join.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:47:40.4500000+00:00","Hello, ixomb5hmnhv09fkxzcseks557gxkd4zb, welcome to 50xCreative. You are the 35th member to join.","",""
"456226577798135808","Deleted User","2023-07-17T09:47:40.8700000+00:00","Joined the server.","",""
"626398910327291924","sus10","2023-07-17T09:48:14.8000000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:48:14.8210000+00:00","Hello, sus10, welcome to 50xCreative. You are the 36th member to join.","",""
"456226577798135808","Deleted User","2023-07-17T09:48:15.0030000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:48:15.0750000+00:00","Hello, combatfly, welcome to 50xCreative. You are the 37th member to join.","",""
"456226577798135808","Deleted User","2023-07-17T09:48:54.4110000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:48:54.4450000+00:00","Hello, .patrvk, welcome to 50xCreative. You are the 38th member to join.","",""
"962359064501837824","brawojtas","2023-07-17T09:49:41.4060000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:49:41.4360000+00:00","Hello, brawojtas, welcome to 50xCreative. You are the 39th member to join.","",""
"700258122387685428","corry_6747","2023-07-17T09:51:09.9300000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:51:10.0190000+00:00","Hello, corran6747, welcome to 50xCreative. You are the 40th member to join.","",""
"859554141911252992","avy8","2023-07-17T09:53:41.2890000+00:00","Joined the server.","",""
"235148962103951360","Carl-bot#1536","2023-07-17T09:53:41.3600000+00:00","Hello, grp5, welcome to 50xCreative. You are the 41st member to join.","",""
"512282331529347076","astere","2023-07-17T09:54:02.8340000+00:00","Joined the server.","",""
