Hired,Outstanding,Considerable,Mid,Denied,,,,,,,,,,,,,,
2024/10/19 10:53:45 am GMT+8,vortexgamer007,tristone,GMT+8,I am currently living in Taiwan. It is not a part of China for those who think it is.,13-15,Male,he/him,"1 Day and 3.23 Hours. I joined last year though, but season 2 had already started when I logged back on. (Egono you can check our discord. Just type in search ""tristan"".)","I will report it to other staff that are online, and not ping them. I will wait for their response so I can converse with them about the Staff Abuse.","Respecting others and the environment exists. You can't swear because ""it is your right and the freedom of speech"", and you should keep note that other players on this server might not like your words. The freedom of speech needs a balance between what is right to say, or wrong to say.","I would first make a ticket. Follow to ticketing format. I will provide evidence by using /co i on the build in 50xCreative to see the history of the block. I will repeat this on other parts to show that the same person had been breaking it. I will then wait for a staff to respond, and get on 50x IF POSSIBLE.","Yes. I am a Moderator on a server called ""OhhhGens"". (minehut) I have been doing my job well (Banning hackers, no muting we have a chatbot), so I got promoted quickly. The server is currently down due to a hosting issue.","You should choose me over the many other applicants out there because I am a dedicated player to helping other players and making the environment and the server a better place.
The first reason is dedication. I want to have a lot more staff experience and learn more, but at the same time, help players. I want to make our working and playing environment nice. 
The second reason is grit. I am very passionate about being staff on servers because it allows me to focus on my job as a staff member and help. 
These are my reasons on why I should be chosen over the other applicants out there.","I would say maybe a Helper, or Moderator. That is, of course, if I do my job well.",Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday,3 - 4 hours,Nope. I am wishing luck for myself to get accepted!,Yes
2024/09/20 9:47:49 am GMT+8,cnoble,coleman.noble,GMT-4 (EDT),United States,21-40,Male,he/him,2.8 days,"Contact an equivalent staff member or higher about the issue if they're online. Otherwise, I'd record the activity and report it at a later date.",I'd agree with them as long as they're not breaking any other chat rules. I believe in freedom of speech as long as they're not disrespecting or disturbing the community.,"It's all good brah, we have the coreprotect plugin. I'm fairly familiar with this plugin so I won't stress with them because I know I can find the proof in the logs.","Yea I used to be an admin for a factions server years ago (2016-ish). I started at the bottom and climbed the chain of command as time went by. I learned a few lessons like how to interact with players, how to use plugin commands and most importantly how to lead the staff team for that server. After this experience I've also volunteered for many other staff positions but they're not as important so I won't mention them.",I would die on the hill arguing that I'm more mature than them. I'm only 25 but I'm confident in saying that I've experienced a lot more than them at this age.,Senior Moderator,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,1 - 2 hours,"Listen up dudes and dudettes... I know I'm not that active at the moment but I'll definitely change that if I were promoted. I know this server pretty well, I've been playing for at least a year. I don't know the rules like the back of my hand but I'm a solid dude when it comes to following tasks. I'll also be a solid dude when it comes to leading tasks as I've had experience in both positions. I know my position and understand my boundaries. I'm not that good at these online applications so you'll have to talk to me online to fully understand me. I'm not that busy but you'll need to message me and schedule a meeting so I can talk because I'm not that active on the discord. Yea, if I were to become staff then obviously I'd use discord more. Don't hesitate to message me... either way, I'll see yall around!",Yes
2024/09/22 8:08:52 pm GMT+8,Lalovoe,lalovoe,UTC+1,Denmark,18-20,Male,he/him,Like 1 day and maybe 6 to 8 hours,Publicly warn them verbally in the in-game chat to get their attention and let others see. If nothing happens I’ll create a report in discord or just talk to higher rank staff about it.,The server has clear rules on not swearing (and even uses a built-in system to prevent it!!) and is clearly focused on being a family friendly server. By that nature it naturally means that all forms of free speech are not allowed and some censorship has to take place. I’ll warn them and mute them if they continue.,"BAN THEM BOTH!!!! No just kidding. If its still going on ill ask them to stop and tell me what’s going on. Then ill ask if anyone else has caught them behaving bad/greifing. If they got a clear bad aura by plenty other witnesses I’ll give them a ban depending on the damage. If nothing can be determined its difficult to punish them, but realistically I will probably give them a warning, and tell them to get their issues solved between each other. Greifing as revenge is still greifing. Its difficult to understand the theoretical situation 100% without a real example. But I would try to assess the situation further before jumping the gun, is basically what I’m trying to say.",Not anything serious no,"Because I like to play on the server and I want to see it in the best possible state. I often witness bad behaviour either in chat or in game by griefers etc and I have the urge to step in and stop them. Of course this is not always possible without power over them. And if what they, or a group of people, are doing is really bad, it can put the server in a state of limbo where no ordinary players can enjoy the server until griefers get bored and leave. It really sucks to get stuck in a situation like that!",Moderator. I don’t see myself wanting to climb the staff ladder any further as I literally just want to keep the server clean.,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,1 - 2 hours,"I am a very long time player of Minecraft, so I know my way around the game in practically every way. I started in 2010, so I’ve practically played my whole life.","I’m not sure if I haven’t played enough to meet your standards(I’ll definitely rake up a lot more hours), or just meet them in general, but I’m hoping for the best."
2024/11/01 8:52:13 am GMT+8,DeafSponge,deafsponge,CET,Italy,13 - 14,Male,he/him,"5 days, 10 hours 59 minutes",Tell an even higher staff member (e.g. Egono),"I try to convince them that is bad and to stop, if they dont I call for staff","I would call for staff for help or, if I have the perms I use /co i to actually see who griefed the build and confront the griefer",no,I played in 50x for a very long time and I memorized most of the server's rules. I'm very active in the server and I think I would be helpful.,sr. mod,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,3 - 4 hours,"50x is my main server, I play it around 2-3 hours in the weekdays depends if I need to study or not, and from 5 to 6 hr in the weekends. I really enjoy the 50x community, and spending time with friends I met there. I'm a builder, and I really enjoy building in 50x. Whenever the is a rulebreacker and there isn't any staff members I'm always frustrated that I cant do anything about it exept calling for help, I think that as a staff member I would be able to do a lot in the server and help people",Yes
2024/10/23 8:27:01 am GMT+8,SassyOlive,celestialsunset,UTC -7,Phoenix,13-15,Female,she/her,"Idk, but it's over a day",Report them to other staff that's able to make a change.,"I think I would give them a chance to stop swearing (like a warn) and then clear chat, but if they continue to swear I would ban them and then clear chat again.",I would tell them that I just witnessed them griefing and then consider if it was a minor grief or a nuke,"I don't have any experience, but I would like to try starting at a lower-level staff member to see if it is possible for me to do.","reasons why you should choose me over other applicants:

I have a good amount of time to log on and do my job every day.
I am responsible even at my young age
I don't even enjoy bragging about things in life 
I am willing to make even more time in my day for 50xcreative.",maybe a mod of sr. mod,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,3 - 4 hours,I'm obsessed with 50xcreative? idk lol,Maybe
2024/09/21 2:15:05 am GMT+8,Leavish_,leavish_,UTC-5,USA South Carolina,13-15,Male,he/him,"I'm not sure, But I've play a decent amount of time.","I will try to screen record it, if for some reason I can't, I will screen shot it, and report them to another admin. If there are no admins I will report via discord to another admin or higher to get the issue solved as soon as possible.","I would say, ""There are younger children in this server who aren't ready to see to see that type of language yet. It may be a personal freedom, but it isn't ethical and it's still breaking the server's rules."" After that I will make proper judgement by looking at what other bans/ kicks they have. I would give them a proper punishment depending on what they've done it the past.","Ask the other player, if they deny it, I will ask other potential witnesses what they've seen then punish them accordingly.",I made my way up from a moderator to an admin in an old discord server about modding Sims 4. Soon the server was disbanded due to inactivity.,"I always treat others professionally, and with respect. I take my position as moderator very seriously, and I tend to be very focused whenever I do something I enjoy. I, myself used to make these ""Jails"" when I used to play in other creative servers when I was 11 or 12, but now that I see that there is a position to do something I previously loved doing, come back as an opportunity for a server I enjoy makes be really look forward to having a chance to do it again. I've always had a thing for enforcing rules as a small child (even though I did get a phone call or 2 home in elementary) and I see this as almost practice for joining the junior deputy of my city when I turn 15 soon to then be a cop when I'm older. (sorry if that was long!)","I'd see my self doing regular mod things, on my way to becoming an admin",Monday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,1 - 2 hours,Sounds spammers are a big thing here.,Yes
,YaBoiiii_XD,yaboiiii_xd,EDT,Georgia,13-15,Male,he/him,1 day and 5.69 hours,"I would ask him to stop, and if he doesn't stop, I would report him to Egono to punish for admin abuse.","I would remind them that swearing is against the rules of the server and tell them to stop. If they continue to swear, I would warn them, and if they continue to persist, I would give them a temporary mute and see if higher ups see fit to punish further.","First, I would use /co i just to make sure it wasn't me being blind (I have a really bad prescription), then if it was them, I would ban them for a short amount of time and see what higher ups think how long they should be punished for.","I have been a Trainee on a now inactive server called ChucksBox, and I wasn't able to get much good staff experience due to a surprise trip that got me demoted for inactivity. However, I have hosted several public Minehut servers (which to be honest, sadly didn't last very long) and kept the players in line.","Because I have been gracefully welcomed to the community of 50xCreative, and I really want to give back to the wonderful community Egono was able to make.",At maximum Jr. Mod to Mod position.,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,1 - 2 hours,,"I am confident my staff application is good, but who knows? Several people may apply to be staff."
2024/10/26 2:51:31 am GMT+8,848kkll,848kkll,GMT+1,United Kingdom,18+,Male,he/him,3 weeks and 4 days,I would ask them why are they doing this and I would try to make them stop and revert the changes they have done and say sorry to everyone. If they don't stop I will report them to even higher authority e.g. Manager so they can deal with the situation.,I would explain to them that some people might not want swear words to be said on the server and it is also why we have a filter for them and then I would mute them for 1 or 2 days or just a couple of minutes depending on how serious it is.,"I would tell them the we have /co inspect to see who broke or placed blocks and that we can see that he was griefing and then I would warn if it was minor ,ban for 7 days if it was a proper greif and I would ban them for 30d if it was a major greif.",I have not so I am seeking experience in 50xCreative.,You should choose me over other applicants since I can moderate when most staff and other applicants couldn't I can support this since when I log on no staff are online and dont join until hours later.,"In three month's time, I see myself as a mod.",Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,5 - 6 hours,I have nothing else to point out but just to say that every staff member is wonderful and i am grateful for this server.,Yes
2024/08/25 11:02:00 am GMT+8,ClutchKck,thelocalimplodingstar,GMT-4,United States / New Jersey,13-15,Male,they/them,3 days and 22.91 Hours,Report / make a ticket about them while providing screenshots of them breaking a rule and/or abusing their power.,"I would still mute him for a short time, because he isn't wrong, but he also is breaking a server rule.","Check the area that was griefed with /co i and if they did break it, i would give them the usual 7-day ban.",N/A,"I am usually on the server most of the day, am never AFK much or for long, and am quick with my actions dealing with players.",Hopefully I would see myself as just a normal Mod :),Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,  ,,"Yes, but extremely nervous"
