Hired,Outstanding,Considerable,Mid,Denied,,,,,,,,,,,,,,,,,,,
2024/10/19 10:53:45 am GMT+8,vortexgamer007,tristone,GMT+8,I am currently living in Taiwan. It is not a part of China for those who think it is.,13-15,Male,he/him,"1 Day and 3.23 Hours. I joined last year though, but season 2 had already started when I logged back on. (Egono you can check our discord. Just type in search ""tristan"".)","I will report it to other staff that are online, and not ping them. I will wait for their response so I can converse with them about the Staff Abuse.","Respecting others and the environment exists. You can't swear because ""it is your right and the freedom of speech"", and you should keep note that other players on this server might not like your words. The freedom of speech needs a balance between what is right to say, or wrong to say.","I would first make a ticket. Follow to ticketing format. I will provide evidence by using /co i on the build in 50xCreative to see the history of the block. I will repeat this on other parts to show that the same person had been breaking it. I will then wait for a staff to respond, and get on 50x IF POSSIBLE.","Yes. I am a Moderator on a server called ""OhhhGens"". (minehut) I have been doing my job well (Banning hackers, no muting we have a chatbot), so I got promoted quickly. The server is currently down due to a hosting issue.","You should choose me over the many other applicants out there because I am a dedicated player to helping other players and making the environment and the server a better place.
The first reason is dedication. I want to have a lot more staff experience and learn more, but at the same time, help players. I want to make our working and playing environment nice. 
The second reason is grit. I am very passionate about being staff on servers because it allows me to focus on my job as a staff member and help. 
These are my reasons on why I should be chosen over the other applicants out there.","I would say maybe a Helper, or Moderator. That is, of course, if I do my job well.",Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday,3 - 4 hours,Nope. I am wishing luck for myself to get accepted!,Yes,,,,,
2024/09/20 9:47:49 am GMT+8,cnoble,coleman.noble,GMT-4 (EDT),United States,21-40,Male,he/him,2.8 days,"Contact an equivalent staff member or higher about the issue if they're online. Otherwise, I'd record the activity and report it at a later date.",I'd agree with them as long as they're not breaking any other chat rules. I believe in freedom of speech as long as they're not disrespecting or disturbing the community.,"It's all good brah, we have the coreprotect plugin. I'm fairly familiar with this plugin so I won't stress with them because I know I can find the proof in the logs.","Yea I used to be an admin for a factions server years ago (2016-ish). I started at the bottom and climbed the chain of command as time went by. I learned a few lessons like how to interact with players, how to use plugin commands and most importantly how to lead the staff team for that server. After this experience I've also volunteered for many other staff positions but they're not as important so I won't mention them.",I would die on the hill arguing that I'm more mature than them. I'm only 25 but I'm confident in saying that I've experienced a lot more than them at this age.,Senior Moderator,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,1 - 2 hours,"Listen up dudes and dudettes... I know I'm not that active at the moment but I'll definitely change that if I were promoted. I know this server pretty well, I've been playing for at least a year. I don't know the rules like the back of my hand but I'm a solid dude when it comes to following tasks. I'll also be a solid dude when it comes to leading tasks as I've had experience in both positions. I know my position and understand my boundaries. I'm not that good at these online applications so you'll have to talk to me online to fully understand me. I'm not that busy but you'll need to message me and schedule a meeting so I can talk because I'm not that active on the discord. Yea, if I were to become staff then obviously I'd use discord more. Don't hesitate to message me... either way, I'll see yall around!",Yes,,,,,
2024/08/25 11:02:00 am GMT+8,ClutchKck,thelocalimplodingstar,GMT-4,United States / New Jersey,13-15,Male,they/them,3 days and 22.91 Hours,Report / make a ticket about them while providing screenshots of them breaking a rule and/or abusing their power.,"I would still mute him for a short time, because he isn't wrong, but he also is breaking a server rule.","Check the area that was griefed with /co i and if they did break it, i would give them the usual 7-day ban.",N/A,"I am usually on the server most of the day, am never AFK much or for long, and am quick with my actions dealing with players.",Hopefully I would see myself as just a normal Mod :),Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,  ,,"Yes, but extremely nervous",,,,,
2024/10/30 4:34:25 am GMT+8,LeafCommunicate,leafforge,CET (GMT+2),Poland/Europe,15 - 16,Male,he/him,Answer is in the notes section on last page for it is longer than this question's limit.,Report it to a person higher than the offender,"i would explain them that the server has rules against such behavior and therefore if their freedom of speech doesn't follow that he can't do that here without punishment, i'd warn and/or mute them and if the behavior is continuing additional punishment is needed.","I have medal, my witnessing is on video and its a",Yes,"Im fair, i can follow, understand rules and enforce them correctly. Im fluent in english and polish and im able to be mostly active, however its not a rigid activity so i selected the average in the questions below.","A moderator, moderating.",Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday,1 - 2 hours,"I've played lots on the server on two accounts, on my current one i have only 3 hours of playtime but im sure that adds up to around a day with my old one, it was a long time ago so i have no way of accessing that account again.","I believe if i met the playtime requirement correctly, im confident yes.",,,,,
2024/09/22 4:12:43 am GMT+8,__DreamWasTaken_,eee183m_96101,GMT,"United Kingdo,",13-15,Male,he/him,15 minutes ILL DO MORE I SWEAR,Alert a higher rank,warn them,Still warn the actual griefer,active servers like 4-6,"I believe I'm the perfect candidate for Minecraft moderator because I possess the key qualities needed to foster a positive and engaging community. My passion for Minecraft is undeniable, and I'm actively involved in the game, understanding its intricacies and the nuances of its community. I'm dedicated to upholding the rules and promoting a fair and fun environment for all players. My strong communication skills allow me to effectively address issues, resolve conflicts, and ensure everyone feels heard. I'm proactive in identifying potential problems and possess the maturity and judgment to make responsible decisions. I'm confident I can contribute to a thriving and enjoyable Minecraft community.",jr mod? maybe higher,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,3 - 4 hours,,slightly i dont mind if no.,,,,,
,YaBoiiii_XD,yaboiiii_xd,EDT,Georgia,13-15,Male,he/him,1 day and 5.69 hours,"I would ask him to stop, and if he doesn't stop, I would report him to Egono to punish for admin abuse.","I would remind them that swearing is against the rules of the server and tell them to stop. If they continue to swear, I would warn them, and if they continue to persist, I would give them a temporary mute and see if higher ups see fit to punish further.","First, I would use /co i just to make sure it wasn't me being blind (I have a really bad prescription), then if it was them, I would ban them for a short amount of time and see what higher ups think how long they should be punished for.","I have been a Trainee on a now inactive server called ChucksBox, and I wasn't able to get much good staff experience due to a surprise trip that got me demoted for inactivity. However, I have hosted several public Minehut servers (which to be honest, sadly didn't last very long) and kept the players in line.","Because I have been gracefully welcomed to the community of 50xCreative, and I really want to give back to the wonderful community Egono was able to make.",At maximum Jr. Mod to Mod position.,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,1 - 2 hours,,"I am confident my staff application is good, but who knows? Several people may apply to be staff.",,,,,
2024/10/31 8:39:43 am GMT+8,Nathan_TheMaster,nate_3210,UTC-4,United States,13 - 14,Male,he/him,4 DAYS 4 HOURS 25 MINTUES,Report the higher-ranked staff and try anything I can to make them stop.,"Tell them, ""Swearing, is considered inappropriateness, which is breaking the rules, please stop, or else further warnings, kicks, or protentional... Bans""","Go back to the history of the block, it will say who breaked it, who placed it, etc.","I am a guard on a prison server ""mlum"" and had to fill out a form just like this, it has a similar system, getting strikes if done stuff incorrectly, (mlum is an active server).","A reason to choose me over the other applicants, is because I never ignore things, and have on-the-job experience.","A Sir. Mod, I will be working, and keeping the server pristine as it was, is, and always will be.",Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,3 - 4 hours,None...,Yes,,,,,
2024/10/26 1:08:49 am GMT+8,robo_boy08,.123e,CDT,United States Of amarica,13 - 14,Male,he/him,"6 hours (Please read the rest of my application, and this is not my total play time I think you guys reset the playtime as I used to have a lot more)",Get proof of misdemeanor then report it to a higher ranked staff.,Say that it is against the rules and mute said player.,If I have proof a ban them. If I don't have proof I ask the other members. If there are no members online and its just those two I fix the damage then see if it happens again.,"I have been staff on other minehut servers, most of which the owner just disappeared.","I can be online from 8:30 am to 7pm CDT sometimes more, I will not abuse my power, I have a lot of experience in 50x (I took a break right before the nbt reset and stat reset for about a year).",If you mean if I was given staff I think I would be a know staff by the community but not to high of a rank. If you mean in general I think I would still be playing 50x and probobly be making the backrooms.,Monday;Tuesday;Wednesday;Thursday;Friday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,7 - 8 hours,"On the question about what days I can be online, for the weekends it changes a lot, for example one weekend I might have a sport game which would take about 2 hours of said day but if I don't i will be able to be online a far amount. I will also be able to be online less on Mondays and Fridays. Also if you know of any way I can give you proof that I played before dm me, I have a few ideas that might prove it: 1. I played in the era of skulk invasion. 2. I began the McDonalds train that led to the McBunker.",I think there is a good chance I am accepted if the evaluator reads through the whole application and doesn't stop just at playtime.,,,,,
2024/10/31 9:18:01 am GMT+8,DrumPower,qtrezy,EST,United States,18+,Male,he/him,"1 day and 4 hours 32 minutes, I had more but It was before the /stats command","Clip it with replay mod, Open a ticket",I would Mute them for alittle bit as if they were swearing a lot they shouldn't be able to talk for awhile.,"Use /co i, Take a screenshot and replay, put into staff evidence then punish.","Back in the day I was co owner for catbox, We had 50+ players and I had to deal with people breaking rules",I'm a adult and got free time to be on during the day. I have experience with modding on servers.,Sr. mod,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,7 - 8 hours,,Yes,,,,,
2024/10/08 7:09:45 am GMT+8,RainTheNinja01,raintheninja,US+1,florida,21-40,Female,she/her,1 day 21 hours 32 minutes,tell the owner and have there rank go down for abusing there power,I would tell them to not swear because its not right to swear,i would tell the griefer that i saw everything and ban them till they learn to not grief.,there was a server in creative that used to exist i was a admin and later got promoted higher but the server was either banned or deleted because its no longer a server abd you cant find it.,"because i want the server to stay nice with no rule breakers, and because i want to stop griefers and rule breakers.",a staff member doing good stuff,Monday;Wednesday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,3 - 4 hours,,Yes,,,,,
